Damien Harris,NE,RB,11,23,17,97,5.7,0,91,8.27,0.74
Kyle Juszczyk,SF,FB,13,23,19,200,10.5,1,53.6,4.12,2.06
Ezekiel Elliott,DAL,RB,15,23,17,92,5.4,0,185.8,12.39,0.75
Clyde Edwards-Helaire,KC,RB,10,23,17,151,8.9,3,98.3,9.83,1.12
Alec Ingold,MIA,FB,12,23,15,105,7,1,32.2,2.68,1.61
O.J. Howard,HOU,TE,11,23,10,145,14.5,2,36.5,3.32,3.65
Darrell Henderson,LA,RB,10,22,17,102,6,0,73.5,7.35,0.84
John Bates,WAS,TE,9,22,14,108,7.7,1,30.8,3.42,2.2
Marcus Johnson,NYG,WR,5,22,9,99,11,0,18.9,3.78,2.1
Michael J. Thomas,NO,WR,3,22,16,171,10.7,3,51.1,17.03,3.19
Adam Trautman,NO,TE,12,22,18,207,11.5,1,44.7,3.73,2.48
Ashton Dulin,IND,WR,7,22,15,207,13.8,1,42.5,6.07,2.5
Sammy Watkins,GB,WR,7,22,13,206,15.8,0,33.6,4.8,2.58
Javonte Williams,DEN,RB,4,22,16,76,4.8,0,42,10.5,0.67
Jake Ferguson,DAL,TE,11,22,19,174,9.2,2,48.4,4.4,2.55
Michael Bandy,LAC,WR,7,21,10,89,8.9,0,18.9,2.7,1.89
Johnny Mundt,MIN,TE,13,21,19,140,7.4,1,39,3,2.05
MyCole Pruitt,ATL,TE,10,21,16,150,9.4,4,55,5.5,3.44
Keelan Cole,LV,WR,9,21,10,141,14.1,1,30.1,3.34,3.01
KhaDarel Hodge,ATL,WR,9,20,13,202,15.5,1,39.2,4.36,3.02
Durham Smythe,MIA,TE,12,20,15,129,8.6,1,40,3.33,2.35
Khalil Shakir,BUF,WR,10,20,10,161,16.1,1,32.1,3.21,3.21
Zach Pascal,PHI,WR,12,19,15,150,10,1,36,3,2.25
DeeJay Dallas,SEA,RB,11,19,17,126,7.4,0,47.2,4.29,0.91
Breshad Perriman,TB,WR,8,19,9,110,12.2,1,23.3,2.91,2.12
Justin Jackson,DET,RB,12,19,12,101,8.4,1,51.1,4.26,0.95
Mark Ingram,NO,RB,10,18,16,68,4.3,0,48.1,4.81,0.62
-,LAC,TE,8,18,10,72,7.2,0,17.2,2.15,1.72
Lawrence Cager,NYG,TE,5,18,13,118,9.1,1,30.8,6.16,2.37
Albert Okwuegbunam,DEN,TE,6,18,10,95,9.5,1,25.5,4.25,2.55
Travis Homer,SEA,RB,8,18,16,157,9.8,1,43.1,5.39,1.23
Alexander Mattison,MIN,RB,17,18,15,91,6.1,1,88.4,5.2,0.99
Cam Akers,LA,RB,15,18,13,117,9,0,141.3,9.42,0.7
Cam Sims,WAS,WR,12,18,8,89,11.1,0,16.9,1.41,2.11
Mitchell Wilcox,CIN,TE,9,18,17,139,8.2,1,36.9,4.1,2.17
DeSean Jackson,BAL,WR,7,17,9,153,17,0,24.3,3.47,2.7
James Proche,BAL,WR,7,17,8,62,7.8,0,13.2,1.89,1.65
-,ARI,WR,7,17,7,76,10.9,0,14.6,2.09,2.09
Cedrick Wilson,MIA,WR,8,17,12,136,11.3,0,26.4,3.3,2.03
Tyler Allgeier,ATL,RB,16,17,16,139,8.7,1,157.4,9.84,0.7
Kadarius Toney,KC,WR,7,17,14,171,12.2,2,55,7.86,2.89
Connor Heyward,PIT,TE,8,17,12,151,12.6,1,35.8,4.48,2.56
Kenny Golladay,NYG,WR,6,17,6,81,13.5,1,20.1,3.35,3.35
Chase Edmonds,MIA,RB,8,17,10,96,9.6,1,49.6,6.2,0.95
Chuba Hubbard,CAR,RB,12,17,14,147,10.5,0,87.3,7.28,0.8
David Sills,NYG,WR,7,17,11,106,9.6,0,21.6,3.09,1.96
Tom Kennedy,DET,WR,6,16,8,141,17.6,0,22.1,3.68,2.76
Geoff Swaim,TEN,TE,11,16,12,58,4.8,1,23.8,2.16,1.98
Amari Rodgers,HOU,WR,5,16,12,154,12.8,1,34.1,6.82,2.44
Peyton Hendershot,DAL,TE,9,16,11,103,9.4,2,39.5,4.39,3.29
Jamaal Williams,DET,RB,17,16,12,73,6.1,0,216.3,12.72,0.8
Tanner Hudson,NYG,TE,6,15,10,132,13.2,0,23.2,3.87,2.32
Mike Boone,DEN,RB,8,15,9,96,10.7,0,28.8,3.6,0.87
Shane Zylstra,DET,TE,8,15,11,60,5.5,4,41,5.13,3.73
Josiah Deguara,GB,TE,9,15,13,114,8.8,0,24.4,2.71,1.88
Avery Williams,ATL,RB,14,14,13,61,4.7,0,36,2.57,1.03
Jack Stoll,PHI,TE,9,14,11,123,11.2,0,23.3,2.59,2.12
River Cracraft,MIA,WR,8,14,9,102,11.3,2,31.2,3.9,3.47
Isiah Pacheco,KC,RB,17,14,13,130,10,0,135,7.94,0.74
Velus Jones,CHI,WR,9,14,7,107,15.3,1,38,4.22,2.38
Teagan Quitoriano,HOU,TE,7,14,7,113,16.1,2,30.3,4.33,4.33
Dyami Brown,WAS,WR,7,14,5,143,28.6,2,32.8,4.69,5.47
Zonovan Knight,NYJ,RB,7,14,13,100,7.7,0,59,8.43,0.6
Brandon Johnson,DEN,WR,4,14,6,42,7,1,16.2,4.05,2.7
KJ Hamler,DEN,WR,6,14,7,165,23.6,0,25.8,4.3,2.87
Jalen Reagor,MIN,WR,10,13,8,104,13,1,26.9,2.69,2.24
Jamison Crowder,BUF,WR,4,13,6,60,10,0,12,3,2
Anthony Firkser,ATL,TE,8,13,9,100,11.1,0,19,2.38,2.11
Jalen Nailor,MIN,WR,5,13,9,179,19.9,1,32.9,6.58,3.66
Eric Tomlinson,DEN,TE,8,13,9,79,8.8,2,28.9,3.61,3.21
Patrick Ricard,BAL,FB,12,13,11,74,6.7,0,20,1.67,1.11
Sony Michel,LAC,RB,10,13,9,53,5.9,0,24.9,2.49,0.55
Kyle Philips,TEN,WR,4,13,8,78,9.8,0,15.8,3.95,1.98
Dan Arnold,JAC,TE,10,13,9,135,15,0,22.5,2.25,2.5
Jeff Wilson,SF,RB,8,13,10,91,9.1,0,73.9,9.24,0.72
-,KC,TE,9,13,9,108,12,2,31.8,3.53,3.53
Dee Eskridge,SEA,WR,8,13,7,58,8.3,0,13.8,1.73,1.53
Taysom Hill,NO,QB,16,13,9,76,8.4,2,145.7,9.11,1.39
Justice Hill,BAL,RB,13,12,12,58,4.8,0,42,3.23,0.69
Hassan Haskins,TEN,RB,7,12,11,57,5.2,0,26,3.71,0.72
Brian Robinson,WAS,RB,12,12,9,60,6.7,1,112.7,9.39,0.53
Raheem Blackshear,CAR,RB,10,12,10,93,9.3,0,45,4.5,1.36
Byron Pringle,CHI,WR,7,12,10,135,13.5,2,35.5,5.07,3.55
Donald Parham,LAC,TE,6,12,10,130,13,1,29,4.83,2.9
C.J. Ham,MIN,FB,9,12,10,86,8.6,0,31.3,3.48,2.24
Kyren Williams,LA,RB,8,12,9,76,8.4,0,30.5,3.81,0.69
Khalil Herbert,CHI,RB,13,12,9,57,6.3,1,117.9,9.07,0.85
Brycen Hopkins,LA,TE,7,11,7,109,15.6,0,17.9,2.56,2.56
Jeff Smith,NYJ,WR,7,11,8,134,16.8,0,21.4,3.06,2.68
Andrew Beck,DEN,FB,8,11,5,69,13.8,0,11.9,1.49,1.7
James Mitchell,DET,TE,8,11,11,113,10.3,1,28.3,3.54,2.57
James Robinson,JAC,RB,7,11,9,46,5.1,1,71.6,10.23,0.8
Quintin Morris,BUF,TE,6,11,8,84,10.5,1,20.4,3.4,2.55
Parker Hesse,ATL,TE,9,11,9,89,9.9,0,17.9,1.99,1.99
Jonathan Williams,WAS,RB,7,10,7,40,5.7,0,26.2,3.74,0.6
Deven Thompkins,TB,WR,2,10,5,32,6.4,0,10.8,5.4,1.54
Pharaoh Brown,HOU,TE,3,10,7,72,10.3,0,14.2,4.73,2.03
T.Y. Hilton,DAL,WR,3,10,7,121,17.3,0,19.1,6.37,2.73
Pharaoh Brown,CLE,TE,4,10,5,45,9,0,9.5,2.38,1.9
Ko Kieft,TB,TE,8,10,7,80,11.4,1,21,2.63,3
Mike Thomas,CIN,WR,4,10,2,38,19,0,5.8,1.45,2.9
Craig Reynolds,DET,RB,6,10,9,116,12.9,0,30.8,5.13,0.96
Marlon Mack,DEN,RB,5,10,8,99,12.4,1,38.3,7.66,1.6
Laquon Treadwell,SEA,WR,3,10,6,42,7,0,10.2,3.4,1.7
Reggie Gilliam,BUF,FB,4,10,8,69,8.6,1,20.9,5.23,2.61
Anthony Schwartz,CLE,WR,6,10,4,51,12.8,0,18.8,3.13,2.35
Trent Taylor,CIN,WR,6,10,6,62,10.3,0,13.7,2.28,1.37
Samori Toure,GB,WR,4,10,5,82,16.4,1,19.2,4.8,3.84
Andre Baccellia,ARI,WR,5,10,7,45,6.4,0,11.5,2.3,1.64
D'Onta Foreman,CAR,RB,16,9,5,26,5.2,0,129,8.06,0.62
Nyheim Hines,BUF,RB,8,9,5,53,10.6,1,16,2,1.45
Mike Strachan,IND,WR,5,9,3,59,19.7,0,8.9,1.78,2.97
Montrell Washington,DEN,WR,9,9,4,2,0.5,0,7.2,0.8,0.8
N'Keal Harry,CHI,WR,6,9,7,116,16.6,1,24.6,4.1,3.51
Cole Turner,WAS,TE,5,9,2,23,11.5,0,4.3,0.86,2.15
Michael Woods,CLE,WR,6,9,5,45,9,0,9,1.5,1.5
Giovanni Ricci,CAR,TE,6,9,8,100,12.5,0,18,3,2.25
Jameson Williams,DET,WR,6,9,1,41,41,1,15.1,2.52,7.55
Grant Calcaterra,PHI,TE,5,9,5,81,16.2,0,13.1,2.62,2.62
Brandon Bolden,LV,RB,8,9,9,57,6.3,1,27.5,3.44,1.06
Chris Manhertz,JAC,TE,6,8,6,42,7,0,10.2,1.7,1.7
Zander Horvath,LAC,RB,8,8,5,8,1.6,2,18.6,2.33,2.07
Amari Rodgers,GB,WR,4,8,4,56,14,0,9.6,2.4,2.4
Darrel Williams,ARI,RB,5,8,4,9,2.3,0,21.1,4.22,0.84
Racey McMath,TEN,WR,4,8,2,40,20,0,6.4,1.6,2.13
Chris Myarick,NYG,TE,7,8,7,65,9.3,1,19.5,2.79,2.79
Zack Moss,BUF,RB,5,8,7,27,3.9,0,16.8,3.36,0.7
Gary Brightwell,NYG,RB,8,8,5,39,7.8,0,29,3.63,0.81
Royce Freeman,HOU,RB,4,8,6,33,5.5,0,19,4.75,0.4
Jordan Wilkins,IND,RB,4,8,6,29,4.8,0,14.7,3.68,0.77
Trestan Ebner,CHI,RB,7,8,2,17,8.5,0,9.1,1.3,0.35
Ryan Griffin,CHI,TE,7,8,4,26,6.5,0,6.6,0.94,1.65
Troy Hairston,HOU,FB,7,8,5,19,3.8,0,6.9,0.99,1.38
J.K. Dobbins,BAL,RB,8,8,7,42,6,1,81.2,10.15,0.82
Phillip Lindsay,IND,RB,3,8,6,19,3.2,0,12.8,4.27,0.61
Tylan Wallace,BAL,WR,5,7,4,33,8.3,0,7.3,1.46,1.83
Jake Kumerow,BUF,WR,4,7,4,64,16,0,10.4,2.6,2.6
Marcedes Lewis,GB,TE,6,7,6,66,11,2,24.6,4.1,4.1
Stephen Anderson,ARI,TE,5,7,3,9,3,0,3.9,0.78,1.3
Dax Milne,WAS,WR,7,7,6,37,6.2,1,15.7,2.24,2.62
Nick Vannett,NYG,TE,3,7,4,42,10.5,0,8.2,2.73,2.05
Tyrie Cleveland,DEN,WR,3,7,2,28,14,0,4.8,1.6,2.4
Danny Gray,SF,WR,5,7,1,10,10,0,2.9,0.58,1.45
Malik Davis,DAL,RB,6,7,6,63,10.5,0,34.4,5.73,0.78
Tyler Davis,GB,TE,5,7,4,26,6.5,0,6.6,1.32,1.65
Corey Clement,ARI,RB,4,7,5,54,10.8,0,21.9,5.48,1.1
Pierre Strong,NE,RB,4,7,7,42,6,0,27.2,6.8,1.6
Chase Edmonds,DEN,RB,5,7,6,61,10.2,0,24.6,4.92,0.77
Gunner Olszewski,PIT,WR,10,7,5,53,10.6,0,14.2,1.42,1.09
Isaiah Hodgins,BUF,WR,1,6,4,41,10.3,0,8.1,8.1,2.03
Boston Scott,PHI,RB,13,6,5,15,3,0,46.2,3.55,0.78
Tony Jones,SEA,RB,2,6,3,18,6,0,6.4,3.2,0.58
Charlie Kolar,BAL,TE,1,6,4,49,12.3,0,8.9,8.9,2.23
Dennis Houston,DAL,WR,2,6,2,16,8,0,3.6,1.8,1.8
Myles Gaskin,MIA,RB,2,6,4,28,7,0,9.4,4.7,0.67
Jakob Johnson,LV,FB,6,6,5,10,2,0,6,1,1.2
Freddie Swain,DEN,WR,3,6,4,74,18.5,0,11.4,3.8,2.85
Armani Rogers,WAS,TE,5,6,5,64,12.8,0,14,2.8,2
Stephen Sullivan,CAR,TE,4,6,2,46,23,0,6.6,1.65,3.3
Dezmon Patmon,IND,WR,1,6,2,24,12,0,4.4,4.4,2.2
Malcolm Brown,LA,RB,7,6,5,37,7.4,0,22.8,3.26,0.99
Rashaad Penny,SEA,RB,5,5,4,16,4,0,52.2,10.44,0.86
Cody Hollister,TEN,WR,4,5,3,54,18,0,8.4,2.1,2.8
Ronnie Rivers,LA,RB,2,5,5,29,5.8,0,10,5,0.71
Tyler Kroft,SF,TE,4,5,4,57,14.3,0,9.7,2.43,2.43
Zack Moss,IND,RB,8,5,4,12,3,0,47.7,5.96,0.6
Chris Conley,TEN,WR,3,5,4,46,11.5,0,8.6,2.87,2.15
Jalen Virgil,DEN,WR,4,5,2,75,37.5,1,15.5,3.88,7.75
Keaontay Ingram,ARI,RB,10,5,4,21,5.3,0,18.1,1.81,0.58
Kevin White,NO,WR,4,5,2,74,37,0,9.4,2.35,4.7
Derek Watt,PIT,FB,10,5,5,11,2.2,1,20.2,2.02,1.44
Sammy Watkins,BAL,WR,2,5,3,119,39.7,0,12.9,6.45,4.3
Stone Smartt,LAC,TE,3,5,4,17,4.3,0,5.7,1.9,1.43
Ross Dwelley,SF,TE,4,5,3,105,35,1,19.5,4.88,6.5
Andy Isabella,ARI,WR,2,5,2,21,10.5,0,4.1,2.05,2.05
Kyle Rudolph,TB,TE,5,5,3,28,9.3,1,11.8,2.36,3.93
Bryan Edwards,ATL,WR,4,5,3,15,5,0,4.5,1.13,1.5
Cole Beasley,TB,WR,2,5,4,17,4.3,0,5.7,2.85,1.43
David Johnson,NO,RB,4,4,4,47,11.8,0,9.1,2.28,0.57
Marcus Jones,NE,CB,3,4,4,78,19.5,1,17.8,5.93,4.45
Austin Trammell,LA,WR,2,4,2,13,6.5,0,3.3,1.65,1.65
Lil'Jordan Humphrey,NE,WR,3,4,2,20,10,0,4,1.33,2
Jason Cabinda,DET,FB,4,4,1,5,5,0,1.9,0.48,0.95
Devin Asiasi,CIN,TE,3,4,2,5,2.5,0,2.5,0.83,1.25
