Tevin Coleman,SF,RB,2,12,26,2.2,1,0,0,22,11,1.47
Latavius Murray,NO,RB,1,11,57,5.2,1,0,0,13.5,13.5,1.13
Dwayne Washington,NO,RB,3,11,38,3.5,0,0,0,5.5,1.83,0.46
CeeDee Lamb,DAL,WR,17,10,47,4.7,0,0,0,301.6,17.74,2.58
Pierre Strong,NE,RB,4,10,100,10,1,0,0,27.2,6.8,1.6
Myles Gaskin,MIA,RB,2,10,26,2.6,0,0,0,9.4,4.7,0.67
J.J. Taylor,NE,RB,1,10,9,0.9,0,0,0,2.7,2.7,0.25
Patrick Taylor,GB,RB,4,10,31,3.1,0,0,0,5.8,1.45,0.53
DJ Moore,CAR,WR,17,10,53,5.3,0,0,0,199.5,11.74,2.73
Bailey Zappe,NE,QB,4,10,0,0,0,4,3,42.6,10.66,3.88
Spencer Brown,CAR,RB,2,9,43,4.8,0,0,0,7.3,3.65,0.66
Amon-Ra St. Brown,DET,WR,16,9,95,10.6,0,0,0,269,16.81,2.34
Julius Chestnut,TEN,RB,3,9,12,1.3,0,0,0,8.3,2.77,0.69
Kene Nwangwu,MIN,RB,2,9,14,1.6,0,0,0,5.5,2.75,0.5
Ronnie Rivers,LA,RB,2,9,21,2.3,0,0,0,10,5,0.71
Derek Watt,PIT,FB,10,9,21,2.3,1,0,0,20.2,2.02,1.44
Cooper Kupp,LA,WR,9,9,52,5.8,1,2,1,201.4,22.38,2.4
Chris Streveler,NYJ,QB,1,9,54,6,0,1,0,9,9,1
Laviska Shenault,CAR,WR,13,9,65,7.2,1,0,0,72.7,5.59,2.02
Braxton Berrios,NYJ,WR,15,9,91,10.1,2,0,0,57.7,3.85,2.14
Cooper Rush,DAL,QB,8,9,6,0.7,0,2,0,59.6,7.46,6.63
Velus Jones,CHI,WR,9,9,103,11.4,1,1,1,38,4.22,2.38
Tutu Atwell,LA,WR,12,9,34,3.8,1,0,0,63.2,5.27,2.34
Isaiah McKenzie,BUF,WR,15,9,55,6.1,1,0,0,119.8,7.99,2.35
Jerome Ford,CLE,RB,2,8,12,1.5,0,0,0,1.2,0.6,0.15
Mike Davis,BAL,RB,5,8,18,2.3,0,1,0,4.2,0.84,0.42
Tony Jones,SEA,RB,2,8,16,2,0,0,0,6.4,3.2,0.58
Gunner Olszewski,PIT,WR,10,8,39,4.9,0,0,0,14.2,1.42,1.09
