Michael Burton,DEN,FB,7,7,9,1.3,0,0,0,4.7,0.67,0.47
Clayton Tune,ARI,QB,4,7,29,4.1,1,2,1,7.4,1.85,1.05
Kalif Raymond,DET,WR,15,7,75,10.7,0,0,0,88.3,5.89,2.26
Tyler Scott,CHI,WR,11,7,41,5.9,0,1,1,30.2,2.75,1.44
Xavier Gipson,NYJ,WR,11,7,60,8.6,1,1,0,47.2,4.29,2.05
Mike White,MIA,QB,5,7,-9,-1.3,0,0,0,5.1,1.01,0.72
Dare Ogunbowale,HOU,RB,5,7,35,5,0,0,0,7.3,1.46,0.81
Hunter Luepke,DAL,RB,6,6,19,3.2,1,0,0,12.7,2.12,1.41
Tyrion Davis-Price,SF,RB,1,6,21,3.5,0,0,0,2.1,2.1,0.35
Curtis Samuel,WAS,WR,14,6,24,4,1,0,0,145.9,10.42,2.32
Tyler Huntley,BAL,QB,3,6,16,2.7,0,0,0,7.1,2.37,1.19
Trevor Siemian,NYJ,QB,3,5,26,5.2,0,5,3,13.3,4.44,2.66
Erik Ezukanma,MIA,WR,2,5,22,4.4,0,0,0,2.2,1.1,0.44
Drew Lock,SEA,QB,4,5,14,2.8,0,0,0,32.1,8.03,6.42
Tony Jones,ARI,RB,3,5,25,5,0,0,0,7.1,2.37,0.89
Leonard Fournette,BUF,RB,1,5,20,4,0,0,0,2,2,0.4
Kene Nwangwu,MIN,RB,3,5,13,2.6,0,0,0,1.3,0.43,0.26
Malik Willis,TEN,QB,2,5,21,4.2,0,1,1,3.1,1.53,0.61
Rashaad Penny,PHI,RB,2,5,17,3.4,0,0,0,3.2,1.6,0.53
C.J. Beathard,JAC,QB,5,5,11,2.2,0,1,0,11.9,2.39,2.39
Jameis Winston,NO,QB,6,5,-6,-1.2,0,0,0,15,2.49,2.99
Andrew Beck,HOU,FB,10,5,3,0.6,1,1,1,23.9,2.39,1.71
Tyreek Hill,MIA,WR,14,5,15,3,0,1,1,341.6,24.4,3.08
Kyle Juszczyk,SF,FB,9,5,6,1.2,0,0,0,33.2,3.69,2.08
Mike Boone,HOU,RB,7,5,23,4.6,0,1,0,13.3,1.9,1.11
Treylon Burks,TEN,WR,8,5,18,3.6,0,0,0,36.8,4.6,1.94
Xavier Hutchinson,HOU,WR,9,5,49,9.8,0,0,0,17.5,1.94,1.75
Brandon Powell,MIN,WR,11,5,17,3.4,0,0,0,67.9,6.17,2.06
Harrison Bryant,CLE,TE,12,5,8,1.6,0,1,1,34.5,2.88,2.16
Jamal Agnew,JAC,WR,7,4,-2,-0.5,0,1,1,33,4.71,2.06
Demario Douglas,NE,WR,12,4,29,7.3,0,1,1,96.6,8.05,2.01
Deonte Harty,BUF,WR,11,4,0,0,0,0,0,33.8,3.07,1.88
Lynn Bowden,NO,WR,6,4,34,8.5,0,0,0,19.6,3.27,1.51
Marquise Goodwin,CLE,WR,10,4,33,8.3,0,0,0,14,1.4,1.75
Christian Watson,GB,WR,9,4,11,2.8,0,0,0,101.3,11.26,3.17
Tutu Atwell,LA,WR,13,4,35,8.8,0,0,0,106.1,8.16,2.59
Brandin Cooks,DAL,WR,14,4,32,8,0,1,0,138,9.86,2.94
Tim Boyle,NYJ,QB,3,4,5,1.3,0,2,0,14.9,4.97,3.73
Elijah Dotson,LAC,RB,1,4,6,1.5,0,0,0,3.9,3.9,0.65
DJ Moore,CHI,WR,15,4,21,5.3,1,1,1,245.2,16.35,2.82
Jaren Hall,MIN,QB,2,4,10,2.5,0,1,1,3,1.52,0.76
Devin Duvernay,BAL,WR,6,4,15,3.8,0,0,0,7.3,1.22,0.91
Cole Kmet,CHI,TE,14,3,2,0.7,0,1,0,174,12.43,2.38
Chris Godwin,TB,WR,15,3,34,11.3,1,0,0,178.6,11.91,2.32
Amon-Ra St. Brown,DET,WR,14,3,13,4.3,0,1,1,281.4,20.1,2.58
Tyquan Thornton,NE,WR,8,3,51,17,0,0,0,21.8,2.73,1.68
Jacoby Brissett,WAS,QB,2,3,19,6.3,0,0,0,22.9,11.43,7.62
Ja'Marr Chase,CIN,WR,14,3,-6,-2,0,1,0,249.7,17.84,2.6
Skyy Moore,KC,WR,13,3,23,7.7,0,0,0,53.7,4.13,2.24
Andy Dalton,CAR,QB,2,3,12,4,0,0,0,23.6,11.82,7.88
Brett Rypien,LA,QB,2,3,19,6.3,0,1,1,5.8,2.89,1.93
DeAndre Carter,LV,WR,7,3,18,6,0,0,0,8.4,1.2,1.4
Jaylen Waddle,MIA,WR,14,3,12,4,0,0,0,198.6,14.19,2.65
