Player,GSIS,Full Name,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,TD,Catch Rate,Catches,YAC,FUM,DPI,DPI Yards
31-E.Benjamin,00-0036383,Eno Benjamin,2TM,7,24,-10.1%,-1.3%,34,193,0,74%,25,9.4,0,0,0
24-B.Snell,00-0035217,Benny Snell,PIT,7,6,69.2%,61.2%,2,17,0,100%,2,9.0,0,0,0
42-J.Taylor,00-0036096,J.J. Taylor,NE,6,5,107.8%,93.6%,1,8,0,100%,1,5.0,0,0,0
35-A.Williams,00-0036188,Antonio Williams,ATL,5,-2,-7.6%,-16.6%,14,61,0,93%,13,6.5,0,0,0
35-P.Strong,00-0038098,Pierre Strong,NE,5,11,-1.2%,14.1%,7,42,0,100%,7,5.4,0,0,0
26-A.McFarland,00-0036336,Anthony McFarland,PIT,5,5,36.2%,43.3%,2,11,0,100%,2,7.5,0,0,0
9-K.Walker,00-0038134,Kenneth Walker,SEA,4,-7,-11.5%,-17.7%,35,165,0,77%,27,8.2,0,0,0
26-S.Ahmed,00-0036020,Salvon Ahmed,MIA,4,4,50.6%,61.3%,1,8,0,100%,1,7.0,0,0,0
24-D.Washington,00-0032450,Dwayne Washington,NO,4,4,48.1%,46.4%,1,7,0,100%,1,6.0,0,0,0
21-K.Vaughn,00-0036450,Ke'Shawn Vaughn,TB,2,-2,-3.8%,-21.7%,4,19,0,75%,3,9.7,0,0,0
83-A.Beck,00-0034959,Andrew Beck,DEN,2,7,-11.7%,-5.0%,11,69,0,45%,5,9.4,0,1,12
25-E.Mitchell,00-0036567,Elijah Mitchell,SF,2,-5,-6.1%,-37.3%,4,7,0,75%,3,5.3,0,0,0
20-R.Penny,00-0034750,Rashaad Penny,SEA,1,3,-11.1%,-7.1%,5,16,0,80%,4,7.0,0,0,0
17-K.Drake,00-0033118,Kenyan Drake,BAL,0,-13,-13.6%,-22.9%,26,89,1,65%,17,7.4,0,0,0
43-J.Hill,00-0034975,Justice Hill,BAL,0,-13,-13.7%,-35.1%,12,58,0,100%,12,6.9,1,0,0
33-J.Ward,00-0035924,Jonathan Ward,TEN,0,-1,-14.6%,-21.0%,3,7,0,67%,2,2.0,0,0,0
28-I.Spiller,00-0038045,Isaiah Spiller,LAC,0,0,-16.5%,-11.4%,3,13,0,100%,3,7.7,0,0,0
36-D.Ozigbo,,,DEN,-1,-1,-26.7%,-36.4%,1,3,0,100%,1,7.0,0,0,0
41-J.Williams,00-0032975,Jonathan Williams,WAS,-1,-9,-15.4%,-30.5%,10,40,0,70%,7,5.4,0,0,0
44-D.Watt,00-0032897,Derek Watt,PIT,-1,3,-16.6%,-5.6%,5,11,1,100%,5,0.8,0,0,0
30-Ja.Williams,00-0033948,Jamaal Williams,DET,-2,-3,-15.5%,-16.9%,16,73,0,75%,12,5.4,0,0,0
22-T.Williams,,,ARI,-2,-2,-46.0%,-47.1%,1,5,0,100%,1,6.0,0,0,0
22-J.Hasty,00-0035806,JaMycal Hasty,JAC,-2,7,-15.2%,-9.0%,26,126,1,77%,20,6.7,0,0,0
24-K.Herbert,00-0036906,Khalil Herbert,CHI,-2,-6,-17.4%,-25.0%,12,57,1,75%,9,9.0,0,0,0
31-M.Breida,00-0033308,Matt Breida,NYG,-3,8,-16.0%,-6.9%,25,118,0,80%,20,5.0,0,0,0
25-H.Haskins,00-0037617,Hassan Haskins,TEN,-3,-6,-19.5%,-25.5%,12,57,0,92%,11,5.3,0,0,0
40-K.Smith,00-0030968,Keith Smith,ATL,-3,-5,-34.3%,-42.4%,2,8,0,50%,1,8.0,0,0,0
45-M.Burton,00-0031595,Michael Burton,KC,-3,-2,-33.4%,-26.9%,3,11,0,67%,2,4.0,0,0,0
20-S.Michel,00-0034845,Sony Michel,LAC,-4,-1,-19.0%,-15.0%,13,53,0,69%,9,5.1,0,0,0
32-T.Jones,00-0035860,Tony Jones,2TM,-4,-3,-23.2%,-21.1%,8,30,0,63%,5,6.8,0,0,0
3-M.Gaskin,00-0035311,Myles Gaskin,MIA,-4,-7,-26.9%,-35.4%,6,28,0,67%,4,5.0,0,0,0
40-Z.Horvath,00-0037331,Zander Horvath,LAC,-4,-4,-20.7%,-20.5%,8,8,2,63%,5,0.2,0,0,0
23-J.Wilson,00-0034115,Jeff Wilson,2TM,-4,0,-16.3%,-14.1%,37,185,1,59%,22,6.4,1,0,0
35-K.Blasingame,,,CHI,-5,-5,-91.4%,-98.9%,1,0,0,0%,0,,0,0,0
30-K.Ingram,00-0037299,Keaontay Ingram,ARI,-5,-11,-30.3%,-51.9%,5,21,0,80%,4,8.0,0,0,0
28-M.Davis,00-0032063,Mike Davis,BAL,-5,-8,-79.3%,-114.0%,2,4,0,100%,2,5.5,0,0,0
38-G.Igwebuike,,,SEA,-5,-6,-100.7%,-107.2%,1,3,0,100%,1,0.0,0,0,0
31-D.Pierce,00-0037258,Dameon Pierce,HOU,-7,2,-17.0%,-12.7%,39,165,1,77%,30,6.6,0,0,0
35-B.Scott,00-0034414,Boston Scott,PHI,-7,-12,-38.1%,-51.9%,6,15,0,83%,5,4.0,0,0,0
26-R.Freeman,00-0034838,Royce Freeman,HOU,-8,-1,-31.0%,-17.1%,8,33,0,75%,6,6.5,0,0,0
41-S.Brown,00-0036543,Spencer Brown,CAR,-8,-9,-51.9%,-58.7%,4,10,0,50%,2,6.0,0,0,0
32-J.Patterson,00-0036755,Jaret Patterson,WAS,-9,-8,-123.6%,-111.4%,1,0,0,0%,0,,0,0,0
35-G.Edwards,00-0034184,Gus Edwards,BAL,-9,-10,-90.9%,-98.9%,2,0,0,0%,0,,0,0,0
30-D.Johnson,00-0035628,D'Ernest Johnson,CLE,-10,-11,-69.7%,-75.4%,3,7,0,100%,3,2.7,0,0,0
25-D.Felton,00-0036654,Demetric Felton,CLE,-10,-12,-55.3%,-62.5%,4,8,0,50%,2,5.5,0,0,0
32-T.Davis-Price,00-0037827,Tyrion Davis-Price,SF,-11,-10,-114.5%,-102.8%,2,0,0,0%,0,,0,0,0
42-C.Huntley,00-0036829,Caleb Huntley,ATL,-12,-9,-108.3%,-84.4%,2,3,0,100%,2,4.5,0,0,0
26-M.Boone,00-0034208,Mike Boone,DEN,-12,-7,-32.0%,-25.1%,15,96,0,60%,9,9.0,0,0,0
21-E.Elliott,00-0033045,Ezekiel Elliott,DAL,-12,-16,-22.8%,-26.0%,23,92,0,74%,17,5.2,0,0,0
25-G.Bernard,00-0030456,Giovani Bernard,TB,-12,-13,-132.1%,-142.1%,2,-1,0,100%,2,3.5,0,0,0
25-J.Kelley,00-0036370,Joshua Kelley,LAC,-13,-5,-23.3%,-17.7%,25,101,0,56%,14,6.3,0,0,0
29-J.Wilkins,00-0034400,Jordan Wilkins,IND,-13,-16,-44.1%,-50.8%,8,29,0,75%,6,7.3,0,0,0
33-D.Foreman,00-0033925,D'Onta Foreman,CAR,-15,-24,-42.8%,-62.1%,9,26,0,56%,5,5.4,0,0,0
45-J.Cabinda,,,DET,-15,-12,-58.1%,-49.8%,4,5,0,25%,1,2.0,0,1,2
46-A.Prentice,,,NO,-15,-19,-104.8%,-125.4%,3,9,0,100%,3,6.0,1,0,0
23-J.McKissic,00-0032602,J.D. McKissic,WAS,-19,-29,-22.1%,-26.7%,40,173,0,68%,27,5.6,0,0,0
30-P.Lindsay,00-0034109,Phillip Lindsay,IND,-22,-23,-59.9%,-62.6%,8,19,0,75%,6,1.8,0,0,0
37-D.Harris,00-0035657,Damien Harris,NE,-23,-26,-29.5%,-31.0%,23,97,0,74%,17,5.1,0,0,0
33-J.Williams,00-0036997,Javonte Williams,DEN,-25,-23,-35.2%,-33.5%,22,76,0,73%,16,7.4,0,0,0
28-A.Dillon,00-0036265,AJ Dillon,GB,-26,-27,-24.2%,-24.5%,43,206,0,65%,28,7.3,1,0,0
25-T.Ebner,00-0037087,Trestan Ebner,CHI,-28,-30,-79.6%,-84.2%,8,8,0,25%,2,-0.5,0,0,0
34-T.Hairston,00-0037456,Troy Hairston,HOU,-28,-26,-66.2%,-62.9%,8,19,0,63%,5,2.0,0,0,0
21-Z.Moss,00-0036251,Zack Moss,2TM,-29,-22,-46.6%,-38.3%,13,39,0,85%,11,3.8,0,0,0
45-J.Johnson,00-0035726,Jakob Johnson,LV,-29,-26,-94.8%,-85.4%,6,10,0,83%,5,1.4,0,0,0
22-M.Ingram,00-0027966,Mark Ingram,NO,-30,-39,-44.4%,-53.7%,18,68,0,89%,16,4.9,1,0,0
33-D.Ogunbowale,00-0033854,Dare Ogunbowale,HOU,-31,-26,-34.2%,-30.7%,26,104,0,77%,20,6.2,0,0,0
84-C.Patterson,00-0030578,Cordarrelle Patterson,ATL,-33,-23,-33.6%,-28.0%,31,122,0,68%,21,5.5,0,0,0
38-R.Stevenson,00-0036875,Rhamondre Stevenson,NE,-33,-37,-21.0%,-21.8%,88,421,1,78%,69,7.1,2,0,0
26-S.Barkley,00-0034844,Saquon Barkley,NYG,-36,-47,-22.5%,-24.9%,76,338,0,75%,57,7.6,0,0,0
26-M.Sanders,00-0035243,Miles Sanders,PHI,-41,-42,-40.4%,-41.1%,26,78,0,77%,20,5.2,1,1,39
25-T.Johnson,00-0035537,Ty Johnson,NYJ,-41,-30,-46.7%,-37.4%,24,88,0,50%,12,6.1,0,0,0
24-D.Williams,00-0034301,Darrel Williams,ARI,-42,-36,-97.9%,-86.1%,8,9,0,50%,4,3.8,0,0,0
28-L.Murray,00-0030513,Latavius Murray,2TM,-54,-40,-46.0%,-37.4%,35,132,0,77%,27,7.0,0,0,0
28-R.Burkhead,00-0030288,Rex Burkhead,HOU,-59,-44,-35.2%,-29.9%,51,204,1,73%,37,5.8,0,1,3
28-J.Taylor,00-0036223,Jonathan Taylor,IND,-69,-66,-45.0%,-43.8%,40,143,0,70%,28,7.4,0,0,0
