Player,GSIS,Full Name,Team,DYAR,YAR,DVOA,VOA,Runs,Yards,TD,FUM,,,
19-A.Thielen,00-0030035,Adam Thielen,MIN,1,1,-25.5%,-6.3%,1,4,0,0,,,
13-B.Cooks,00-0031236,Brandin Cooks,HOU,0,1,-38.4%,-33.7%,2,7,0,0,,,
11-D.Peoples-Jones,00-0036233,Donovan Peoples-Jones,CLE,0,-1,-41.3%,-57.7%,1,2,0,0,,,
11-M.Goodwin,00-0030068,Marquise Goodwin,SEA,-1,0,-45.8%,-33.4%,2,5,0,0,,,
1-J.Darden,00-0036877,Jaelon Darden,TB,-1,-1,-51.5%,-55.5%,1,2,0,0,,,
87-F.Moreau,00-0034981,Foster Moreau,LV,-1,-2,-201.5%,-245.6%,1,5,0,0,,,
83-A.Isabella,00-0035527,Andy Isabella,BAL,-1,-4,-62.4%,-111.8%,1,1,0,0,,,
19-D.Samuel,00-0035719,Deebo Samuel,SF,-2,7,-39.4%,-35.6%,42,232,3,3,,,
17-I.Smith-Marsette,00-0036635,Ihmir Smith-Marsette,CHI,-2,-2,-110.1%,-108.8%,1,-1,0,0,,,
3-Z.Pascal,00-0033251,Zach Pascal,PHI,-3,-7,-68.8%,-100.5%,1,0,0,0,,,
2-M.Brown,00-0035662,Marquise Brown,ARI,-4,-4,-97.2%,-106.8%,1,1,0,0,,,
83-K.Granson,00-0036876,Kylen Granson,IND,-4,-4,-88.6%,-100.8%,1,0,0,0,,,
7-Z.Jones,00-0033891,Zay Jones,JAC,-4,-3,-51.8%,-48.5%,4,18,0,0,,,
7-G.Everett,00-0033895,Gerald Everett,LAC,-5,-4,-129.1%,-107.3%,1,0,0,0,,,
14-C.Godwin,00-0033921,Chris Godwin,TB,-6,-6,-89.3%,-89.3%,3,5,0,0,,,
8-E.Moore,00-0036980,Elijah Moore,NYJ,-6,-4,-59.1%,-51.9%,5,5,0,0,,,
42-C.Fejedelem,,,MIA,-7,-6,-109.0%,-100.6%,1,0,0,0,,,
14-S.Diggs,00-0031588,Stefon Diggs,BUF,-7,-8,-156.4%,-176.2%,1,-3,0,0,,,
11-M.Valdes-Scantling,00-0034272,Marquez Valdes-Scantling,KC,-8,-7,-203.8%,-196.0%,1,-3,0,0,,,
15-C.Moore,00-0032398,Chris Moore,HOU,-8,-8,-91.7%,-90.4%,3,3,0,0,,,
12-M.Woods,00-0037300,Michael Woods,CLE,-8,-9,-272.2%,-285.9%,1,-5,0,0,,,
17-W.Robinson,00-0038117,Wan'Dale Robinson,NYG,-10,-9,-134.6%,-122.5%,2,-1,0,0,,,
1-J.Chase,00-0036900,Ja'Marr Chase,CIN,-10,-12,-72.5%,-78.5%,5,8,0,0,,,
17-D.Adams,00-0031381,Davante Adams,LV,-11,-13,-103.2%,-118.7%,3,-1,0,0,,,
13-A.Lazard,00-0034521,Allen Lazard,GB,-11,-9,-118.7%,-103.3%,2,0,0,0,,,
16-J.Meyers,00-0034960,Jakobi Meyers,NE,-12,-12,-127.7%,-129.6%,3,1,0,1,,,
1-J.Dotson,00-0037741,Jahan Dotson,WAS,-12,-13,-148.0%,-156.6%,2,-7,0,0,,,
17-T.McLaurin,00-0035659,Terry McLaurin,WAS,-12,-7,-69.8%,-55.9%,7,29,0,1,,,
16-Q.Watkins,00-0036271,Quez Watkins,PHI,-13,-13,-111.6%,-108.7%,3,1,0,0,,,
81-J.Smith,00-0033858,Jonnu Smith,NE,-14,-15,-153.1%,-161.2%,1,5,0,1,,,
85-C.Okonkwo,00-0037809,Chigoziem Okonkwo,TEN,-17,-16,-163.5%,-151.5%,3,2,0,0,,,
85-D.Njoku,00-0033885,David Njoku,CLE,-17,-17,-205.9%,-198.9%,2,-8,0,0,,,
1-D.Carter,00-0031763,DeAndre Carter,LAC,-18,-22,-211.8%,-251.4%,2,-15,0,0,,,
17-G.Wilson,00-0037740,Garrett Wilson,NYJ,-29,-30,-173.7%,-178.1%,4,4,0,1,,,
4-R.Moore,00-0036936,Rondale Moore,ARI,-30,-31,-113.8%,-116.9%,6,-5,0,0,,,
16-B.Perriman,00-0032054,Breshad Perriman,TB,-36,-35,-337.8%,-327.7%,2,-19,0,1,,,
