Elijah Mitchell,SF,2,-5,-0.061,-0.373,4,7,0,0.75,3,5.3,0,0,0,2022
Rashaad Penny,SEA,1,3,-0.111,-0.071,5,16,0,0.8,4,7,0,0,0,2022
Kenyan Drake,BAL,0,-13,-0.136,-0.229,26,89,1,0.65,17,7.4,0,0,0,2022
Justice Hill,BAL,0,-13,-0.137,-0.351,12,58,0,1,12,6.9,1,0,0,2022
Jonathan Ward,TEN,0,-1,-0.146,-0.21,3,7,0,0.67,2,2,0,0,0,2022
Isaiah Spiller,LAC,0,0,-0.165,-0.114,3,13,0,1,3,7.7,0,0,0,2022
Jonathan Williams,WAS,-1,-9,-0.154,-0.305,10,40,0,0.7,7,5.4,0,0,0,2022
Derek Watt,PIT,-1,3,-0.166,-0.056,5,11,1,1,5,0.8,0,0,0,2022
Jamaal Williams,DET,-2,-3,-0.155,-0.169,16,73,0,0.75,12,5.4,0,0,0,2022
JaMycal Hasty,JAC,-2,7,-0.152,-0.09,26,126,1,0.77,20,6.7,0,0,0,2022
Khalil Herbert,CHI,-2,-6,-0.174,-0.25,12,57,1,0.75,9,9,0,0,0,2022
Matt Breida,NYG,-3,8,-0.16,-0.069,25,118,0,0.8,20,5,0,0,0,2022
Hassan Haskins,TEN,-3,-6,-0.195,-0.255,12,57,0,0.92,11,5.3,0,0,0,2022
Keith Smith,ATL,-3,-5,-0.343,-0.424,2,8,0,0.5,1,8,0,0,0,2022
Michael Burton,KC,-3,-2,-0.334,-0.269,3,11,0,0.67,2,4,0,0,0,2022
Sony Michel,LAC,-4,-1,-0.19,-0.15,13,53,0,0.69,9,5.1,0,0,0,2022
Tony Jones,-,-4,-3,-0.232,-0.211,8,30,0,0.63,5,6.8,0,0,0,2022
Myles Gaskin,MIA,-4,-7,-0.269,-0.354,6,28,0,0.67,4,5,0,0,0,2022
Zander Horvath,LAC,-4,-4,-0.207,-0.205,8,8,2,0.63,5,0.2,0,0,0,2022
Jeff Wilson,-,-4,0,-0.163,-0.141,37,185,1,0.59,22,6.4,1,0,0,2022
Keaontay Ingram,ARI,-5,-11,-0.303,-0.519,5,21,0,0.8,4,8,0,0,0,2022
Mike Davis,BAL,-5,-8,-0.793,-1.14,2,4,0,1,2,5.5,0,0,0,2022
Dameon Pierce,HOU,-7,2,-0.17,-0.127,39,165,1,0.77,30,6.6,0,0,0,2022
Boston Scott,PHI,-7,-12,-0.381,-0.519,6,15,0,0.83,5,4,0,0,0,2022
Royce Freeman,HOU,-8,-1,-0.31,-0.171,8,33,0,0.75,6,6.5,0,0,0,2022
Spencer Brown,CAR,-8,-9,-0.519,-0.587,4,10,0,0.5,2,6,0,0,0,2022
Jaret Patterson,WAS,-9,-8,-1.236,-1.114,1,0,0,0,0,,0,0,0,2022
Gus Edwards,BAL,-9,-10,-0.909,-0.989,2,0,0,0,0,,0,0,0,2022
D'Ernest Johnson,CLE,-10,-11,-0.697,-0.754,3,7,0,1,3,2.7,0,0,0,2022
Demetric Felton,CLE,-10,-12,-0.553,-0.625,4,8,0,0.5,2,5.5,0,0,0,2022
Tyrion Davis-Price,SF,-11,-10,-1.145,-1.028,2,0,0,0,0,,0,0,0,2022
Caleb Huntley,ATL,-12,-9,-1.083,-0.844,2,3,0,1,2,4.5,0,0,0,2022
Mike Boone,DEN,-12,-7,-0.32,-0.251,15,96,0,0.6,9,9,0,0,0,2022
Ezekiel Elliott,DAL,-12,-16,-0.228,-0.26,23,92,0,0.74,17,5.2,0,0,0,2022
Giovani Bernard,TB,-12,-13,-1.321,-1.421,2,-1,0,1,2,3.5,0,0,0,2022
Joshua Kelley,LAC,-13,-5,-0.233,-0.177,25,101,0,0.56,14,6.3,0,0,0,2022
Jordan Wilkins,IND,-13,-16,-0.441,-0.508,8,29,0,0.75,6,7.3,0,0,0,2022
D'Onta Foreman,CAR,-15,-24,-0.428,-0.621,9,26,0,0.56,5,5.4,0,0,0,2022
J.D. McKissic,WAS,-19,-29,-0.221,-0.267,40,173,0,0.68,27,5.6,0,0,0,2022
Phillip Lindsay,IND,-22,-23,-0.599,-0.626,8,19,0,0.75,6,1.8,0,0,0,2022
Damien Harris,NE,-23,-26,-0.295,-0.31,23,97,0,0.74,17,5.1,0,0,0,2022
Javonte Williams,DEN,-25,-23,-0.352,-0.335,22,76,0,0.73,16,7.4,0,0,0,2022
AJ Dillon,GB,-26,-27,-0.242,-0.245,43,206,0,0.65,28,7.3,1,0,0,2022
Trestan Ebner,CHI,-28,-30,-0.796,-0.842,8,8,0,0.25,2,-0.5,0,0,0,2022
Troy Hairston,HOU,-28,-26,-0.662,-0.629,8,19,0,0.63,5,2,0,0,0,2022
Zack Moss,-,-29,-22,-0.466,-0.383,13,39,0,0.85,11,3.8,0,0,0,2022
Jakob Johnson,LV,-29,-26,-0.948,-0.854,6,10,0,0.83,5,1.4,0,0,0,2022
Mark Ingram,NO,-30,-39,-0.444,-0.537,18,68,0,0.89,16,4.9,1,0,0,2022
Dare Ogunbowale,HOU,-31,-26,-0.342,-0.307,26,104,0,0.77,20,6.2,0,0,0,2022
Cordarrelle Patterson,ATL,-33,-23,-0.336,-0.28,31,122,0,0.68,21,5.5,0,0,0,2022
Rhamondre Stevenson,NE,-33,-37,-0.21,-0.218,88,421,1,0.78,69,7.1,2,0,0,2022
Saquon Barkley,NYG,-36,-47,-0.225,-0.249,76,338,0,0.75,57,7.6,0,0,0,2022
Miles Sanders,PHI,-41,-42,-0.404,-0.411,26,78,0,0.77,20,5.2,1,1,39,2022
Ty Johnson,NYJ,-41,-30,-0.467,-0.374,24,88,0,0.5,12,6.1,0,0,0,2022
Darrel Williams,ARI,-42,-36,-0.979,-0.861,8,9,0,0.5,4,3.8,0,0,0,2022
Latavius Murray,-,-54,-40,-0.46,-0.374,35,132,0,0.77,27,7,0,0,0,2022
Rex Burkhead,HOU,-59,-44,-0.352,-0.299,51,204,1,0.73,37,5.8,0,1,3,2022
Jonathan Taylor,IND,-69,-66,-0.45,-0.438,40,143,0,0.7,28,7.4,0,0,0,2022
