PLAYER INFO,PLAYER INFO,PLAYER INFO,PLAYER INFO,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS
Player,Position,Team,Opp.,Rush Att.,Rush Yd.,Rush TD,Fum.,Tgt,Rec.,Rec Yd.,Rec TD,FPTS
Jalen Coker,WR,CAR,CHI,,,,,0.3,0.2,3.5,0.1,1.1
Ashton Dulin,WR,IND,JAX,,,,,,0.4,6.4,0.03,1.0
Trent Sherfield Sr.,WR,MIN,NYJ,,,,,,0.3,3.4,0.07,0.9
Xavier Hutchinson,WR,HOU,BUF,,,,,0.6,0.4,5,0.03,0.9
Devin Duvernay,WR,JAX,IND,,,,,,0.4,5.6,0.03,0.9
Marvin Mims Jr.,WR,DEN,LV,0.2,1,0.01,,0.7,0.3,4.5,0.02,0.9
Laviska Shenault Jr.,WR,SEA,NYG,0.2,0.9,0.01,,0.7,0.4,4,0.03,0.9
Jalin Hyatt,WR,NYG,SEA,,,,,,0.4,6,0.02,0.9
Cedrick Wilson Jr.,WR,NO,KC,,,,,0.8,0.5,4.9,0.03,0.9
Tylan Wallace,WR,BAL,CIN,,,,,,0.3,4.5,0.03,0.8
Erik Ezukanma,WR,MIA,NE,,,,,,0.3,5.1,0.02,0.8
Jermaine Burton,WR,CIN,BAL,,,,,0.5,0.3,4.4,0.02,0.7
DeAndre Carter,WR,CHI,CAR,,,,,,0.2,1.8,0.07,0.7
Chris Conley,WR,SF,AZ,,,,,,0.3,3.3,0.03,0.7
Tyreik McAllister,WR,LV,DEN,,,,,0.2,0.1,1,0.09,0.7
Xavier Smith,WR,LAR,GB,,,,,0.7,0.4,4.9,,0.7
Scotty Miller,WR,PIT,DAL,,,,,0.6,0.3,4.5,0.02,0.7
Malachi Corley,WR,NYJ,MIN,0.1,0.6,0.02,,,0.1,1,0.04,0.6
Tyler Scott,WR,CHI,CAR,,,,,,0.1,0.8,0.08,0.6
KhaDarel Hodge,WR,ATL,TB,,,,,,0.1,0.7,0.05,0.4
James Proche II,WR,CLE,WAS,,,,,0.3,0.2,1.8,0.02,0.4
Charlie Jones,WR,CIN,BAL,,,,,,0.2,2,0.02,0.4
Deonte Harty,WR,BAL,CIN,,,,,,0.1,1,0.01,0.2
Tim Jones,WR,JAX,IND,,,,,,0.1,1,0.01,0.2
Javon Baker,WR,NE,MIA,,,,,,0.1,1,0.01,0.2
Jacob Cowing,WR,SF,AZ,,,,,,0.1,1,0.01,0.2
Chris Moore,WR,AZ,SF,,,,,,0.1,1,0.01,0.2
Zach Pascal,WR,AZ,SF,,,,,,0.1,1,0.01,0.2
Christian Watson,WR,GB,LAR,0.2,1.4,0.01,,,,,,0.2
Bub Means,WR,NO,KC,,,,,,0.1,1,0.01,0.2
Ronnie Bell,WR,SF,AZ,0.1,0.5,,,,,,,0.1
