Player,GSIS,Full Name,Team,DYAR,YAR,DVOA,VOA,Runs,Yards,TD,FUM,Suc Rate
9-K.Walker,00-0038134,Kenneth Walker,SEA,4,74,-8.2%,-0.8%,219,898,8,1,47%
33-D.Ogunbowale,00-0033854,Dare Ogunbowale,HOU,4,0,2.0%,-7.8%,8,35,0,0,38%
35-J.Corbin,00-0037410,Jashaun Corbin,NYG,4,2,34.9%,14.0%,1,1,0,0,100%
14-K.Gainwell,00-0036919,Kenneth Gainwell,PHI,4,-20,-7.5%,-14.3%,84,364,2,3,46%
30-C.Ham,00-0032918,C.J. Ham,MIN,4,4,93.7%,102.8%,1,7,0,0,100%
25-I.Abanikanda,00-0038389,Israel Abanikanda,NYJ,3,-2,-4.7%,-10.4%,22,70,0,0,36%
34-J.Funk,00-0036860,Jake Funk,IND,2,2,44.7%,44.1%,2,10,0,0,0%
28-Z.Knight,00-0037157,Zonovan Knight,DET,2,1,8.0%,1.0%,3,13,0,0,33%
25-C.Evans,00-0036857,Chris Evans,CIN,2,-1,28.8%,-34.4%,2,12,0,0,0%
32-T.Williams,00-0035291,Trayveon Williams,CIN,1,-3,-7.6%,-14.3%,15,69,0,0,33%
29-L.Perine,00-0036269,La'Mical Perine,KC,0,-5,-8.5%,-14.0%,22,77,0,0,41%
29-D.Williams,00-0030874,Damien Williams,ARI,0,0,-9.1%,-7.7%,11,43,0,0,55%
15-E.Elliott,00-0033045,Ezekiel Elliott,NE,-1,13,-8.8%,-6.8%,184,642,3,1,46%
32-T.Davis-Price,00-0037827,Tyrion Davis-Price,SF,-2,-4,-16.4%,-31.7%,6,21,0,0,50%
13-C.Reynolds,00-0035567,Craig Reynolds,DET,-2,2,-9.5%,-7.2%,41,179,1,1,44%
14-T.Montgomery,00-0032200,Ty Montgomery,NE,-2,-1,-30.1%,-22.3%,3,9,0,0,33%
32-J.Robinson,00-0035831,James Robinson,GB,-2,-1,-77.9%,-51.0%,1,2,0,0,0%
32-K.Drake,00-0033118,Kenyan Drake,GB,-3,-3,-86.2%,-104.0%,1,0,0,0,0%
26-E.Hull,00-0038397,Evan Hull,IND,-3,-3,-106.3%,-104.0%,1,1,0,0,0%
36-K.Harris,00-0037286,Kevin Harris,NE,-4,6,-15.0%,0.3%,16,65,1,0,44%
37-K.Drake,00-0033118,Kenyan Drake,BAL,-5,-5,-101.1%,-104.8%,1,0,0,0,0%
25-J.Kelley,00-0036370,Joshua Kelley,LAC,-5,-18,-9.7%,-12.4%,107,405,2,1,45%
18-J.Williams,00-0032975,Jonathan Williams,WAS,-5,-6,-162.6%,-168.9%,1,-2,0,0,0%
25-C.Edwards-Helaire,00-0036360,Clyde Edwards-Helaire,KC,-6,-35,-10.6%,-20.6%,70,223,1,0,43%
33-D.Ozigbo,00-0035184,Devine Ozigbo,DET,-6,-7,-45.6%,-48.5%,3,5,0,0,67%
46-A.Prentice,00-0036727,Adam Prentice,NO,-6,-8,-102.4%,-130.6%,2,12,0,1,100%
45-J.Cabinda,00-0034171,Jason Cabinda,DET,-6,-7,-89.9%,-99.4%,1,0,0,0,0%
26-K.Nwangwu,00-0036842,Kene Nwangwu,MIN,-8,-5,-54.8%,-39.3%,5,13,0,0,40%
3-R.Blackshear,00-0037429,Raheem Blackshear,CAR,-10,-9,-27.8%,-27.2%,14,46,0,0,29%
35-K.Blasingame,00-0035099,Khari Blasingame,CHI,-10,-7,-42.9%,-30.8%,8,26,0,0,38%
22-M.Boone,00-0034208,Mike Boone,HOU,-11,-10,-64.0%,-59.0%,5,23,0,1,60%
44-K.Juszczyk,00-0029892,Kyle Juszczyk,SF,-11,-9,-40.0%,-35.5%,5,6,0,0,60%
23-G.Brightwell,00-0036569,Gary Brightwell,NYG,-12,-10,-42.9%,-38.0%,9,19,0,0,11%
42-E.Dotson,00-0038862,Elijah Dotson,LAC,-12,-14,-65.7%,-75.8%,4,6,0,0,25%
23-R.Penny,00-0034750,Rashaad Penny,PHI,-12,-9,-34.8%,-28.3%,11,33,0,0,45%
47-A.Beck,00-0034959,Andrew Beck,HOU,-13,-10,-42.6%,-34.3%,5,3,1,0,40%
26-S.Ahmed,00-0036020,Salvon Ahmed,MIA,-14,-14,-23.0%,-23.3%,22,61,1,0,36%
35-Z.White,00-0038040,Zamir White,LV,-14,30,-11.7%,-1.7%,104,451,1,1,53%
22-C.Edmonds,00-0034681,Chase Edmonds,TB,-14,-14,-15.7%,-15.7%,49,176,0,0,47%
30-A.Ingold,00-0035125,Alec Ingold,MIA,-14,-14,-100.5%,-99.4%,2,0,0,0,0%
28-A.Dillon,00-0036265,AJ Dillon,GB,-16,-9,-10.5%,-9.7%,178,613,2,0,51%
1-R.White,00-0037256,Rachaad White,TB,-17,-20,-10.1%,-10.4%,272,990,7,2,43%
20-M.Burton,00-0031595,Michael Burton,DEN,-17,-17,-37.5%,-38.1%,7,9,0,0,57%
44-S.Tucker,00-0038951,Sean Tucker,TB,-19,-27,-42.0%,-56.3%,15,23,0,0,27%
30-C.Brown,00-0038597,Chase Brown,CIN,-19,-35,-20.9%,-31.2%,44,179,0,1,36%
35-C.Brooks,00-0038685,Chris Brooks,MIA,-21,-5,-39.9%,-15.7%,19,106,0,0,37%
84-C.Patterson,00-0030578,Cordarrelle Patterson,ATL,-23,-19,-19.9%,-18.3%,50,181,0,1,44%
27-D.Henderson,00-0035664,Darrell Henderson,LA,-23,-31,-20.7%,-25.0%,46,112,2,0,33%
21-Z.Evans,00-0039136,Zach Evans,LA,-24,-17,-89.7%,-67.3%,9,19,0,0,0%
20-E.Gray,00-0038396,Eric Gray,NYG,-26,-23,-49.5%,-45.1%,17,48,0,1,35%
33-M.Gordon,00-0032144,Melvin Gordon,BAL,-30,-33,-38.7%,-41.2%,26,81,1,1,35%
25-D.Johnson,00-0035628,D'Ernest Johnson,JAC,-31,-34,-27.8%,-29.7%,41,108,0,0,37%
42-D.Vaughn,00-0038622,Deuce Vaughn,DAL,-33,-45,-49.9%,-64.4%,23,40,0,0,13%
4-T.Bigsby,00-0038555,Tank Bigsby,JAC,-36,-31,-24.3%,-22.1%,50,132,2,1,42%
28-I.Spiller,00-0038045,Isaiah Spiller,LAC,-44,-36,-40.3%,-35.0%,37,96,0,0,30%
34-D.Jackson,00-0036493,Deon Jackson,2TM,-45,-42,-77.2%,-71.8%,14,16,0,1,14%
26-S.Barkley,00-0034844,Saquon Barkley,NYG,-48,-41,-13.0%,-12.4%,247,962,6,2,40%
31-C.Akers,00-0036414,Cam Akers,2TM,-49,-34,-28.9%,-22.7%,60,167,2,0,35%
30-K.Ingram,00-0037299,Keaontay Ingram,ARI,-49,-57,-47.4%,-53.3%,35,74,0,0,20%
31-M.Breida,00-0033308,Matt Breida,NYG,-49,-44,-30.9%,-28.5%,55,151,1,0,36%
8-J.Jacobs,00-0035700,Josh Jacobs,LV,-54,-72,-14.0%,-15.8%,233,805,6,2,46%
21-K.Vaughn,00-0036450,Ke'Shawn Vaughn,TB,-55,-56,-65.7%,-67.6%,24,42,0,0,21%
30-A.Ekeler,00-0033699,Austin Ekeler,LAC,-55,-54,-15.2%,-15.1%,179,628,5,3,48%
6-M.Sanders,00-0035243,Miles Sanders,CAR,-61,-80,-19.7%,-23.2%,129,432,1,2,40%
2-A.Mattison,00-0034972,Alexander Mattison,MIN,-62,-59,-17.0%,-16.6%,180,700,0,2,47%
21-J.Williams,00-0033948,Jamaal Williams,NO,-62,-70,-22.5%,-24.1%,106,306,1,1,43%
33-D.Cook,00-0033893,Dalvin Cook,NYJ,-63,-64,-31.4%,-31.6%,67,214,0,2,39%
34-J.Ford,00-0037267,Jerome Ford,CLE,-81,-70,-18.6%,-17.2%,204,813,4,1,42%
31-D.Pierce,00-0037258,Dameon Pierce,HOU,-126,-113,-30.6%,-28.4%,145,416,2,0,39%
