Player,GSIS,Full Name,Team,DYAR,YAR,DVOA,VOA,Runs,Yards,TD,FUM,Design,Scramble,Aborted
7-G.Smith,00-0030565,Geno Smith,SEA,10,14,-5.6%,-2.9%,28,161,1,1,-18,44,-16
12-J.Driskel,00-0032436,Jeff Driskel,CLE,9,11,10.7%,17.8%,6,34,0,0,-4,13,0
10-M.Trubisky,00-0033869,Mitchell Trubisky,PIT,8,0,-3.2%,-12.4%,14,47,2,1,11,15,-18
11-B.Rypien,00-0034955,Brett Rypien,LA,8,8,48.6%,52.0%,3,19,0,0,0,8,0
10-C.Rush,00-0033662,Cooper Rush,DAL,5,5,55.3%,54.8%,1,6,0,0,5,0,0
11-C.Wentz,00-0032950,Carson Wentz,LA,3,1,-8.4%,-10.5%,16,57,1,0,4,0,0
10-D.Mills,00-0036898,Davis Mills,HOU,3,2,29.2%,19.1%,2,9,0,0,-4,7,0
14-T.Siemian,00-0032156,Trevor Siemian,NYJ,3,-4,-7.3%,-18.8%,10,35,0,1,8,10,-16
9-M.Stafford,00-0026498,Matthew Stafford,LA,2,5,-9.2%,-6.1%,16,75,0,0,-10,13,0
10-M.Jones,00-0036972,Mac Jones,NE,2,4,-10.9%,-9.4%,22,97,0,1,-1,22,-20
15-C.Tune,00-0038582,Clayton Tune,ARI,1,-3,-8.7%,-20.4%,8,22,1,1,10,8,-17
14-A.Dalton,00-0027973,Andy Dalton,CAR,1,2,-6.0%,-0.6%,3,12,0,0,-2,4,0
11-L.Woodside,00-0034438,Logan Woodside,ATL,1,1,5.6%,13.5%,1,6,0,0,0,1,0
2-D.Lock,00-0035704,Drew Lock,SEA,0,0,-14.8%,-14.1%,4,16,0,0,0,0,0
12-J.Brissett,00-0033119,Jacoby Brissett,WAS,-1,-3,-19.7%,-28.2%,3,19,0,0,-11,10,0
16-J.Hall,00-0038598,Jaren Hall,MIN,-2,-3,-23.5%,-34.1%,3,16,0,0,0,-2,0
2-T.Taylor,00-0028118,Tyrod Taylor,NYG,-3,7,-13.7%,-8.1%,35,195,0,2,18,3,-24
3-C.Beathard,00-0033936,C.J. Beathard,JAC,-3,0,-28.6%,-12.5%,4,38,0,1,0,-3,0
15-T.DeVito,00-0038476,Tommy DeVito,NYG,-4,-4,-15.0%,-14.6%,33,198,1,2,22,-16,-10
15-T.Taylor,00-0033292,Trent Taylor,CHI,-5,-6,-132.1%,-151.4%,1,-2,0,0,-5,0,0
17-R.Tannehill,00-0029701,Ryan Tannehill,TEN,-6,4,-24.6%,-4.0%,12,67,1,1,3,12,-21
16-J.Goff,00-0033106,Jared Goff,DET,-7,-7,-21.3%,-22.5%,12,39,2,2,23,-18,-11
12-N.Mullens,00-0033319,Nick Mullens,MIN,-7,-8,-24.7%,-26.4%,10,25,0,0,-8,1,0
10-P.Walker,00-0033275,P.J. Walker,CLE,-7,-4,-26.9%,-19.9%,9,25,0,1,8,-3,-12
7-T.Boyle,00-0034177,Tim Boyle,NYJ,-8,-9,-40.7%,-43.1%,4,0,0,1,7,0,-15
15-J.Flacco,00-0026158,Joe Flacco,CLE,-10,-11,-40.1%,-43.1%,5,4,0,1,3,0,-13
17-D.Thompson-Robinson,00-0038583,Dorian Thompson-Robinson,CLE,-11,-7,-29.5%,-23.1%,13,65,0,1,0,3,-14
8-S.Clifford,00-0038391,Sean Clifford,GB,-11,-12,-246.2%,-254.5%,1,-1,0,1,0,0,-11
14-S.Darnold,00-0034869,Sam Darnold,SF,-13,-11,-32.8%,-29.3%,8,27,1,1,3,-1,-15
8-W.Levis,00-0039152,Will Levis,TEN,-14,-18,-26.9%,-30.5%,15,50,1,2,7,12,-34
4-A.O'Connell,00-0038579,Aidan O'Connell,LV,-15,-16,-28.6%,-29.4%,11,16,1,1,-5,0,-10
14-M.White,00-0034401,Mike White,MIA,-16,-16,-453.5%,-441.1%,1,-5,0,1,0,0,-16
1-K.Murray,00-0035228,Kyler Murray,ARI,-17,-28,-19.6%,-24.5%,40,235,3,5,-47,64,-33
4-D.Carr,00-0031280,Derek Carr,NO,-17,-26,-33.4%,-45.3%,14,61,0,2,1,-9,-10
7-M.Willis,00-0038128,Malik Willis,TEN,-17,-18,-87.9%,-90.6%,5,12,0,1,0,0,-17
10-J.Garoppolo,00-0031345,Jimmy Garoppolo,LV,-19,-22,-33.3%,-36.9%,14,47,0,1,-6,4,-17
8-K.Pickett,00-0038102,Kenny Pickett,PIT,-23,-21,-27.0%,-26.0%,24,71,1,2,4,-6,-21
6-B.Mayfield,00-0034855,Baker Mayfield,TB,-23,-30,-21.4%,-24.6%,40,177,1,2,-6,0,-17
18-C.Keenum,00-0028986,Case Keenum,HOU,-23,-24,-172.5%,-182.3%,2,-8,0,1,-5,0,-18
2-M.Rudolph,00-0034771,Mason Rudolph,PIT,-27,-20,-65.2%,-52.1%,8,4,0,1,-14,2,-15
4-J.Stidham,00-0035264,Jarrett Stidham,DEN,-28,-28,-73.4%,-73.0%,6,10,0,1,-5,-4,-19
8-K.Cousins,00-0029604,Kirk Cousins,MIN,-29,-29,-43.9%,-43.4%,12,32,0,2,4,0,-34
2-Z.Wilson,00-0037013,Zach Wilson,NYJ,-31,-24,-32.1%,-27.9%,31,210,0,4,-11,24,-44
9-D.Ridder,00-0038122,Desmond Ridder,ATL,-32,-31,-25.0%,-24.8%,44,182,5,6,-14,44,-62
1-T.Tagovailoa,00-0036212,Tua Tagovailoa,MIA,-128,-138,-115.3%,-123.1%,25,40,0,9,-8,0,-121
