Player,GSIS,Full Name,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,TD,Catch Rate,Catches,YAC,FUM,DPI,DPI Yards
86-D.Helm,,,LV,-14,-16,-90.1%,-105.1%,2,-1,0,50%,1,2.0,0,0,0
86-J.Hollister,00-0033387,Jacob Hollister,JAC,-14,-20,-21.1%,-27.4%,14,55,1,64%,9,3.4,0,0,0
82-E.Saubert,00-0033576,Eric Saubert,DEN,-14,-13,-23.8%,-23.1%,12,47,1,67%,8,3.6,0,0,0
87-K.Rader,,,PIT,-14,-14,-73.2%,-72.1%,3,8,0,67%,2,2.0,0,0,0
84-C.Parkinson,00-0036244,Colby Parkinson,SEA,-14,-19,-34.6%,-44.1%,8,33,0,63%,5,4.0,0,0,0
86-C.McElroy,,,TB,-15,-14,-111.5%,-106.9%,2,0,0,50%,1,0.0,0,0,0
85-E.Ebron,00-0031387,Eric Ebron,PIT,-15,-8,-19.7%,-13.6%,18,84,1,67%,12,1.8,0,0,0
83-K.Granson,00-0036876,Kylen Granson,IND,-17,-16,-22.3%,-22.2%,15,106,0,73%,11,6.9,0,0,0
81-B.Bell,00-0032062,Blake Bell,KC,-17,-14,-27.0%,-23.1%,13,87,0,69%,9,7.4,0,0,0
89-M.Lewis,00-0024243,Marcedes Lewis,GB,-17,-23,-15.6%,-18.7%,28,214,0,82%,23,6.3,1,0,0
83-N.Gray,00-0036637,Noah Gray,KC,-18,-21,-33.2%,-36.7%,10,36,1,70%,7,2.6,0,0,0
89-L.Farrell,00-0036887,Luke Farrell,JAC,-18,-24,-27.9%,-33.7%,11,56,0,64%,7,4.0,1,1,17
80-K.Rudolph,00-0027981,Kyle Rudolph,NYG,-20,-19,-14.4%,-14.1%,39,257,1,67%,26,5.3,0,1,8
89-D.Sample,00-0035631,Drew Sample,CIN,-21,-25,-28.4%,-32.0%,15,81,0,73%,11,7.5,0,0,0
81-H.Hurst,00-0034830,Hayden Hurst,ATL,-23,-8,-18.5%,-11.3%,31,221,3,84%,26,3.4,3,0,0
84-D.Harris,00-0030155,Demetrius Harris,ARI,-23,-33,-61.2%,-85.0%,6,10,0,50%,3,4.3,0,0,0
84-S.Zylstra,00-0036534,Shane Zylstra,DET,-24,-25,-49.4%,-52.2%,7,34,0,43%,3,2.0,0,0,0
87-G.Swaim,00-0032141,Geoff Swaim,TEN,-24,-18,-15.8%,-13.6%,40,210,3,78%,31,4.5,0,1,6
81-D.Daniels,00-0033258,Darrell Daniels,ARI,-26,-28,-102.9%,-108.5%,4,0,0,25%,1,1.0,0,0,0
