Player,GSIS,Full Name,Team,DYAR,YAR,DVOA,VOA,Runs,Yards,TD,FUM,Suc Rate
24-C.Hyde,00-0031045,Carlos Hyde,JAC,-8,-29,-11.0%,-17.9%,72,253,1,2,49%
30-J.Richard,00-0033025,Jalen Richard,LV,-9,-3,-32.7%,-17.1%,9,40,0,0,44%
30-C.Ham,00-0032918,C.J. Ham,MIN,-10,-7,-29.1%,-23.3%,7,34,0,0,43%
38-B.Howell,00-0034449,Buddy Howell,LA,-10,-11,-75.9%,-82.4%,5,11,0,0,20%
29-K.Ballage,00-0034799,Kalen Ballage,PIT,-10,-11,-30.7%,-31.4%,12,36,0,0,33%
25-D.Felton,00-0036654,Demetric Felton,CLE,-12,-9,-54.1%,-45.3%,7,24,0,0,29%
45-K.Blasingame,,,TEN,-15,-15,-102.7%,-104.6%,3,6,0,1,33%
32-D.Montgomery,00-0035685,David Montgomery,CHI,-16,38,-10.2%,-4.7%,225,849,7,1,48%
41-R.Gilliam,00-0036187,Reggie Gilliam,BUF,-17,-16,-109.7%,-105.4%,3,3,0,0,0%
6-L.Bell,00-0030496,Le'Veon Bell,2TM,-17,-5,-18.2%,-11.4%,39,101,2,0,49%
25-W.Gallman,00-0033950,Wayne Gallman,ATL,-18,-13,-26.3%,-21.7%,28,104,0,0,32%
38-K.Barner,00-0030465,Kenjon Barner,TB,-19,-20,-126.4%,-132.4%,4,0,0,0,0%
46-C.Reynolds,00-0035567,Craig Reynolds,DET,-19,-17,-16.6%,-15.7%,55,230,0,0,44%
20-A.Abdullah,00-0032104,Ameer Abdullah,2TM,-20,-32,-17.7%,-23.3%,51,166,0,0,43%
21-A.Peterson,00-0025394,Adrian Peterson,2TM,-23,-55,-21.6%,-39.8%,38,98,2,1,42%
42-J.Taylor,00-0036096,J.J. Taylor,NE,-25,-24,-37.5%,-36.9%,19,37,2,0,26%
33-D.Ogunbowale,00-0033854,Dare Ogunbowale,JAC,-27,-26,-23.4%,-23.0%,43,137,1,0,40%
31-P.Lindsay,00-0034109,Phillip Lindsay,2TM,-34,-68,-18.4%,-28.1%,88,249,1,0,38%
24-B.Snell,00-0035217,Benny Snell,PIT,-37,-43,-37.8%,-43.0%,36,98,0,0,33%
35-L.Rountree,00-0036650,Larry Rountree,LAC,-37,-47,-30.4%,-36.3%,36,87,1,0,36%
31-D.Johnson,00-0026957,David Johnson,HOU,-39,-47,-24.6%,-28.0%,67,228,0,1,33%
26-R.Freeman,00-0034838,Royce Freeman,2TM,-42,-28,-26.6%,-20.6%,56,169,0,0,45%
30-C.Hubbard,00-0036555,Chuba Hubbard,CAR,-42,-41,-14.3%,-14.2%,172,612,5,1,44%
31-P.Barber,00-0032741,Peyton Barber,LV,-42,-34,-26.7%,-23.0%,55,212,2,2,49%
27-J.Kelley,00-0036370,Joshua Kelley,LAC,-49,-46,-42.9%,-40.5%,33,102,0,1,30%
34-T.Jones,00-0035860,Tony Jones,NO,-53,-46,-31.7%,-28.7%,54,142,0,0,39%
26-S.Barkley,00-0034844,Saquon Barkley,NYG,-56,-38,-17.5%,-14.6%,162,593,2,1,43%
25-A.Mattison,00-0034972,Alexander Mattison,MIN,-57,-26,-18.9%,-13.3%,134,491,3,1,44%
26-S.Ahmed,00-0036020,Salvon Ahmed,MIA,-62,-62,-34.9%,-34.9%,54,149,0,0,31%
37-M.Gaskin,00-0035311,Myles Gaskin,MIA,-66,-79,-17.9%,-19.8%,173,612,3,2,44%
32-D.Swift,00-0036275,D'Andre Swift,DET,-77,-54,-21.6%,-17.8%,151,617,5,0,36%
14-M.Ingram,00-0027966,Mark Ingram,2TM,-81,-84,-20.6%,-21.0%,160,554,2,1,40%
41-A.Kamara,00-0033906,Alvin Kamara,NO,-95,-40,-18.2%,-12.6%,238,893,4,0,43%
