Player,GSIS,Full Name,Team,DYAR,YAR,DVOA,VOA,Runs,Yards,TD,FUM,,,
11-D.Harris,00-0035215,Deonte Harty,NO,22,22,49.0%,48.6%,5,41,0,0,,,
85-E.Ebron,00-0031387,Eric Ebron,PIT,22,21,0.0%,0.0%,1,1,1,0,,,
11-K.Raymond,00-0032464,Kalif Raymond,DET,20,19,57.7%,51.6%,4,28,0,0,,,
82-T.Tremble,00-0037005,Tommy Tremble,CAR,20,21,92.7%,97.7%,3,11,1,0,,,
11-R.Anderson,00-0032688,Robby Anderson,CAR,19,19,97.7%,97.6%,3,36,0,0,,,
10-A.Schwartz,00-0036999,Anthony Schwartz,CLE,19,21,11.5%,17.3%,6,39,0,0,,,
11-D.Mooney,00-0036309,Darnell Mooney,CHI,18,21,13.5%,22.5%,6,32,1,0,,,
7-T.Austin,00-0030525,Tavon Austin,JAC,18,19,58.5%,64.5%,3,21,0,0,,,
83-T.Boyd,00-0033009,Tyler Boyd,CIN,17,15,111.2%,91.7%,2,22,0,0,,,
10-L.Shenault,00-0036268,Laviska Shenault,JAC,16,9,-11.8%,-22.6%,11,41,0,0,,,
11-H.Ruggs,00-0036357,Henry Ruggs,LV,16,16,69.5%,68.5%,3,16,0,0,,,
85-G.Kittle,00-0033288,George Kittle,SF,15,17,60.3%,69.6%,3,20,0,0,,,
14-Z.Pascal,00-0033251,Zach Pascal,IND,15,16,292.1%,325.7%,2,21,0,0,,,
83-G.Dortch,00-0035500,Greg Dortch,ARI,14,14,218.9%,220.9%,1,24,0,0,,,
12-V.Jefferson,00-0036415,Van Jefferson,LA,14,14,117.4%,111.6%,2,20,0,0,,,
13-B.Cooks,00-0031236,Brandin Cooks,HOU,13,13,85.0%,82.9%,2,21,0,0,,,
17-J.Grant,00-0032791,Jakeem Grant,CHI,13,15,3.3%,11.9%,5,33,0,0,,,
7-A.Roberts,00-0027691,Andre Roberts,LAC,12,13,46.0%,48.3%,3,19,0,0,,,
81-G.Everett,00-0033895,Gerald Everett,SEA,12,11,32.3%,26.4%,3,20,0,0,,,
14-R.McCloud,00-0034407,Ray-Ray McCloud,PIT,12,13,80.0%,90.0%,2,15,0,0,,,
15-C.Grayson,00-0033215,Cyril Grayson,TB,11,11,206.3%,199.9%,1,14,0,0,,,
5-M.Brown,00-0035662,Marquise Brown,BAL,11,9,136.3%,104.0%,1,5,0,0,,,
19-J.Smith-Schuster,00-0033857,JuJu Smith-Schuster,PIT,10,10,-3.5%,-4.0%,3,9,1,0,,,
81-D.Smythe,00-0034798,Durham Smythe,MIA,10,10,7.4%,6.2%,2,3,0,0,,,
12-J.Ross,00-0033460,John Ross,NYG,10,10,129.7%,125.7%,1,16,0,0,,,
88-J.Akins,00-0034364,Jordan Akins,HOU,10,8,125.8%,94.7%,1,3,0,0,,,
17-T.McLaurin,00-0035659,Terry McLaurin,WAS,10,10,161.9%,162.0%,1,12,0,0,,,
13-C.Kirk,00-0034775,Christian Kirk,ARI,9,8,119.3%,100.8%,1,11,0,0,,,
13-C.Batson,00-0034652,Cameron Batson,TEN,9,11,67.8%,83.1%,2,15,0,0,,,
11-A.Brown,00-0035676,A.J. Brown,TEN,9,7,12.8%,0.1%,2,10,0,0,,,
1-C.Wilson,00-0034418,Cedrick Wilson,DAL,9,11,67.1%,86.0%,2,11,0,0,,,
8-Am.Rodgers,00-0036991,Amari Rodgers,GB,9,8,109.9%,100.8%,1,11,0,0,,,
18-C.Conley,00-0032128,Chris Conley,HOU,9,7,81.1%,64.8%,1,3,0,0,,,
3-O.Beckham,00-0031235,Odell Beckham,CLE,8,10,69.6%,89.7%,2,14,0,0,,,
17-J.Waddle,00-0036613,Jaylen Waddle,MIA,8,8,-4.1%,-4.9%,2,3,1,0,,,
17-O.Zaccheaus,00-0035208,Olamide Zaccheaus,ATL,8,8,95.7%,86.6%,1,2,0,0,,,
17-K.Osborn,00-0036345,K.J. Osborn,MIN,8,8,95.8%,93.7%,1,10,0,0,,,
13-M.Evans,00-0031408,Mike Evans,TB,8,9,130.8%,144.0%,1,10,0,0,,,
1-J.Darden,00-0036877,Jaelon Darden,TB,8,8,86.9%,100.8%,1,11,0,0,,,
13-J.Washington,00-0034676,James Washington,PIT,7,7,15.9%,15.4%,2,13,0,0,,,
16-J.Meyers,00-0034960,Jakobi Meyers,NE,7,7,120.3%,121.4%,1,9,0,0,,,
19-E.St. Brown,00-0034279,Equanimeous St. Brown,GB,7,7,7.6%,5.6%,3,14,0,0,,,
42-A.Wingard,,,JAC,7,7,48.5%,53.5%,1,4,0,0,,,
80-G.Olszewski,00-0035645,Gunner Olszewski,NE,6,6,69.0%,64.0%,1,9,0,0,,,
80-C.Rogers,00-0032355,Chester Rogers,TEN,6,7,92.4%,106.7%,1,9,0,0,,,
16-A.Dulin,00-0035021,Ashton Dulin,IND,6,6,-7.5%,-5.9%,3,32,0,0,,,
18-C.Board,00-0033367,C.J. Board,NYG,6,4,87.3%,58.9%,1,6,0,0,,,
11-C.Sims,00-0034104,Cam Sims,WAS,6,5,86.5%,79.8%,1,7,0,0,,,
24-T.Smith,,,HOU,5,5,50.7%,59.2%,1,7,0,0,,,
18-P.Williams,00-0035350,Preston Williams,MIA,5,4,37.1%,33.1%,1,7,0,0,,,
86-Z.Ertz,00-0030061,Zach Ertz,ARI,4,6,54.1%,93.3%,1,4,0,0,,,
81-A.Brown,00-0027793,Antonio Brown,TB,4,4,45.9%,48.3%,1,6,0,0,,,
1-J.Chase,00-0036900,Ja'Marr Chase,CIN,4,2,-28.0%,-34.4%,7,21,0,0,,,
16-T.Lockett,00-0032211,Tyler Lockett,SEA,4,4,0.5%,4.3%,2,9,0,0,,,
2-A.Wilson,00-0030669,Albert Wilson,MIA,3,3,-21.6%,-24.1%,4,17,0,0,,,
17-S.Morgan,00-0035399,Stanley Morgan,CIN,3,3,-8.7%,-10.5%,1,3,0,0,,,
5-J.Palmer,00-0036988,Josh Palmer,LAC,2,3,1.2%,17.7%,1,6,0,0,,,
18-J.Reagor,00-0036387,Jalen Reagor,PHI,2,4,-34.8%,-31.1%,10,32,0,0,,,
14-D.Metcalf,00-0035640,DK Metcalf,SEA,1,2,-12.0%,8.2%,1,6,0,0,,,
1-D.Jackson,00-0026189,DeSean Jackson,LV,1,1,-26.6%,-29.6%,1,4,0,0,,,
19-A.Thielen,00-0030035,Adam Thielen,MIN,1,0,0.0%,0.0%,1,2,0,0,,,
10-C.Kupp,00-0033908,Cooper Kupp,LA,0,-2,-36.5%,-48.1%,4,18,0,0,,,
7-Z.Jones,00-0033891,Zay Jones,LV,0,1,-38.4%,-29.1%,2,3,0,0,,,
80-M.Ffrench,,,LAC,0,0,-39.2%,-45.5%,1,3,0,0,,,
16-Q.Watkins,00-0036271,Quez Watkins,PHI,0,1,-40.7%,-26.5%,1,3,0,0,,,
15-N.Agholor,00-0031549,Nelson Agholor,NE,0,-2,-41.3%,-50.0%,3,11,0,0,,,
17-M.Hardman,00-0035140,Mecole Hardman,KC,-1,-1,-41.3%,-41.3%,8,46,0,1,,,
10-C.Samuel,00-0033282,Curtis Samuel,WAS,-1,-6,-42.9%,-61.7%,4,11,0,0,,,
18-R.Cobb,00-0028002,Randall Cobb,GB,-1,-3,-70.5%,-107.7%,1,1,0,0,,,
12-K.Stills,00-0030085,Kenny Stills,NO,-2,-3,-79.4%,-107.7%,1,1,0,0,,,
11-B.Aiyuk,00-0036261,Brandon Aiyuk,SF,-2,-1,-45.3%,-40.8%,5,17,0,0,,,
87-T.Kelce,00-0030506,Travis Kelce,KC,-2,-2,-44.1%,-44.4%,2,3,1,0,,,
83-P.Cooper,00-0033111,Pharoh Cooper,NYG,-2,-2,-63.1%,-63.5%,1,3,0,0,,,
15-D.Milne,00-0036671,Dax Milne,WAS,-2,-2,-137.3%,-122.8%,1,1,0,0,,,
10-J.Jeudy,00-0036407,Jerry Jeudy,DEN,-2,-4,-59.9%,-72.8%,2,3,0,0,,,
16-J.Smith,00-0035510,Jeff Smith,NYJ,-3,-3,-99.8%,-106.7%,1,-1,0,0,,,
89-B.Edwards,00-0036365,Bryan Edwards,LV,-3,-4,-84.9%,-104.9%,1,0,0,0,,,
2-P.Dorsett,00-0032208,Phillip Dorsett,HOU,-3,-3,-107.5%,-107.2%,1,0,0,0,,,
85-D.Njoku,00-0033885,David Njoku,CLE,-5,-4,-120.7%,-105.7%,1,1,0,0,,,
89-K.Toney,00-0036913,Kadarius Toney,NYG,-5,-7,-79.9%,-99.4%,3,6,0,0,,,
15-J.Guyton,00-0035414,Jalen Guyton,LAC,-7,-7,-58.4%,-59.6%,7,34,0,1,,,
2-D.Brown,00-0036626,Dyami Brown,WAS,-8,-9,-197.9%,-223.5%,1,-4,0,0,,,
88-M.Johnson,00-0023484,Marcus Johnson,TEN,-8,-9,-74.9%,-78.1%,2,-2,0,0,,,
89-M.Andrews,00-0034753,Mark Andrews,BAL,-8,-8,-106.3%,-102.5%,1,0,0,0,,,
88-T.Montgomery,00-0032200,Ty Montgomery,NO,-9,-11,-48.6%,-51.1%,15,44,0,0,,,
12-S.Smith,00-0036572,Shi Smith,CAR,-9,-8,-192.1%,-173.7%,1,-3,0,0,,,
16-B.Perriman,00-0032054,Breshad Perriman,TB,-10,-8,-194.8%,-176.5%,1,-3,0,0,,,
81-A.Bachman,,,NYG,-10,-10,-151.7%,-151.6%,1,-3,0,0,,,
3-S.Shepard,00-0032385,Sterling Shepard,NYG,-10,-12,-255.8%,-282.2%,1,-9,0,0,,,
42-C.Fejedelem,,,MIA,-11,-10,-151.4%,-147.3%,1,-3,0,1,,,
13-H.Renfrow,00-0034983,Hunter Renfrow,LV,-13,-11,-95.8%,-90.0%,3,3,0,0,,,
85-C.Kmet,00-0036290,Cole Kmet,CHI,-13,-12,-108.6%,-105.8%,1,0,0,0,,,
18-J.Jefferson,00-0036322,Justin Jefferson,MIN,-13,-9,-76.2%,-63.8%,6,14,0,0,,,
86-D.Slayton,00-0035535,Darius Slayton,NYG,-13,-13,-314.5%,-317.2%,1,-13,0,0,,,
88-E.Engram,00-0033881,Evan Engram,NYG,-14,-16,-117.1%,-126.7%,1,-3,0,0,,,
84-M.Goodwin,00-0030068,Marquise Goodwin,CHI,-17,-16,-111.7%,-106.8%,2,-1,0,0,,,
