Player,Team,Pos,Games,Tgt,Rec,Yds,YPR,TD,PPR,PPR/G,PPR/T
A.J. Brown,TEN,WR,14,106,70,1073,15.3,11,241.3,17.24,3.45
A.J. Green,CIN,WR,16,104,47,523,11.1,2,111.3,6.96,2.37
DeVante Parker,MIA,WR,14,103,63,793,12.6,4,166.3,11.88,2.64
T.J. Hockenson,DET,TE,16,101,67,723,10.8,6,173.3,10.83,2.55
Jarvis Landry,CLE,WR,15,101,72,837,11.6,3,187.7,12.51,2.47
Marquise Brown,BAL,WR,16,99,58,769,13.3,8,183,11.44,3.1
Darnell Mooney,CHI,WR,16,98,61,631,10.3,4,150.1,9.38,2.31
Brandon Aiyuk,SF,WR,12,97,60,748,12.5,5,184.5,15.38,2.8
Curtis Samuel,CAR,WR,15,97,77,844,11,3,211.4,14.09,1.79
Darius Slayton,NYG,WR,16,97,50,751,15,3,141,8.81,2.71
DJ Chark,JAC,WR,13,94,53,706,13.3,5,153.6,11.82,2.9
T.Y. Hilton,IND,WR,15,93,56,762,13.6,5,162.2,10.81,2.9
Noah Fant,DEN,TE,14,93,62,673,10.9,3,147.3,10.52,2.38
Corey Davis,TEN,WR,14,92,65,984,15.1,5,191.4,13.67,2.94
Hunter Henry,LAC,TE,14,92,60,613,10.2,4,145.3,10.38,2.42
Eric Ebron,PIT,TE,15,91,56,558,10,5,139.8,9.32,2.5
Sterling Shepard,NYG,WR,12,90,66,656,9.9,3,160.5,13.38,2.23
Jamison Crowder,NYJ,WR,12,89,59,699,11.8,6,172,14.34,2.87
Mark Andrews,BAL,TE,14,89,58,701,12.1,7,170.1,12.15,2.93
Dalton Schultz,DAL,TE,16,89,63,615,9.8,4,146.5,9.16,2.33
Hayden Hurst,ATL,TE,16,88,56,571,10.2,6,149.1,9.32,2.66
Keelan Cole,JAC,WR,16,86,55,642,11.7,5,149.4,9.34,2.67
Mike Gesicki,MIA,TE,15,85,53,703,13.3,6,159.3,10.62,3.01
Mike Williams,LAC,WR,14,85,48,756,15.8,5,153.7,10.98,3.14
Chris Godwin,TB,WR,12,84,65,840,12.9,7,191,15.92,2.94
Emmanuel Sanders,NO,WR,14,82,61,726,11.9,5,164.8,11.77,2.66
Nelson Agholor,LV,WR,16,82,48,896,18.7,8,185.6,11.6,3.87
Josh Reynolds,LA,WR,16,81,52,618,11.9,2,126.3,7.89,2.38
Jakobi Meyers,NE,WR,12,81,59,729,12.4,0,140.5,11.71,2.3
Laviska Shenault,JAC,WR,14,79,58,600,10.3,5,157.1,11.22,2.07
Tim Patrick,DEN,WR,15,79,51,742,14.5,6,161.2,10.75,3.16
Christian Kirk,ARI,WR,14,79,48,621,12.9,6,146.4,10.46,2.93
Greg Ward,PHI,WR,16,79,53,419,7.9,6,131.1,8.19,2.38
Rob Gronkowski,TB,TE,16,77,45,623,13.8,7,149.3,9.33,3.32
Nyheim Hines,IND,RB,16,77,64,482,7.5,4,192.2,12.01,1.26
Damiere Byrd,NE,WR,14,76,47,604,12.9,1,114.9,8.21,2.34
Anthony Miller,CHI,WR,16,76,49,485,9.9,2,108.7,6.79,2.13
Jimmy Graham,CHI,TE,16,76,50,457,9.1,8,143.7,8.98,2.87
Hunter Renfrow,LV,WR,16,76,56,656,11.7,2,131.6,8.23,2.35
William Fuller,HOU,WR,11,75,53,879,16.6,8,188.9,17.17,3.5
Kendrick Bourne,SF,WR,15,74,49,667,13.6,2,127.7,8.51,2.61
Ezekiel Elliott,DAL,RB,15,73,52,338,6.5,2,221.7,14.78,0.75
Larry Fitzgerald,ARI,WR,13,72,54,409,7.6,1,100.9,7.76,1.87
Zach Ertz,PHI,TE,11,72,36,335,9.3,1,75.5,6.86,2.1
Zach Pascal,IND,WR,16,71,44,629,14.3,5,136.9,8.56,3.11
Mike Davis,CAR,RB,14,70,59,373,6.3,2,206.5,14.75,0.92
Austin Hooper,CLE,TE,13,70,46,435,9.5,4,113.5,8.73,2.47
Danny Amendola,DET,WR,14,69,46,602,13.1,0,106.4,7.6,2.26
Julio Jones,ATL,WR,9,68,51,771,15.1,3,146.1,16.23,2.86
Chase Edmonds,ARI,RB,16,68,53,402,7.6,4,168,10.5,1.12
David Montgomery,CHI,RB,15,68,54,438,8.1,2,262.8,17.52,0.87
Travis Fulgham,PHI,WR,12,67,38,539,14.2,4,115.9,9.66,3.05
Jonnu Smith,TEN,TE,14,65,41,448,10.9,8,140.2,10.01,3.26
Dallas Goedert,PHI,TE,11,65,46,524,11.4,3,116.4,10.58,2.53
Austin Ekeler,LAC,RB,10,65,54,403,7.5,2,165.3,16.53,0.97
George Kittle,SF,TE,8,63,48,634,13.2,2,125.1,15.64,2.5
Marquez Valdes-Scantling,GB,WR,14,63,33,691,20.9,6,137.4,9.81,3.71
Chris Conley,JAC,WR,14,63,40,471,11.8,2,97.1,6.94,2.43
Mecole Hardman,KC,WR,16,62,41,560,13.7,4,122.1,7.63,2.71
Aaron Jones,GB,RB,14,62,46,347,7.5,2,257.1,18.36,1.04
Gabe Davis,BUF,WR,16,62,35,599,17.1,7,136.9,8.56,3.8
James White,NE,RB,14,62,49,375,7.7,1,116.6,8.33,1.39
Gerald Everett,LA,TE,15,61,41,417,10.2,1,92.9,6.19,2.21
Antonio Brown,TB,WR,8,61,45,483,10.7,4,117.1,14.64,2.49
Tyler Eifert,JAC,TE,14,60,36,349,9.7,2,82.9,5.92,2.3
James Robinson,JAC,RB,14,60,49,344,7,3,248.4,17.74,0.86
Michael Pittman,IND,WR,13,60,40,503,12.6,1,98.9,7.61,2.3
Jared Cook,NO,TE,15,60,37,504,13.6,7,127.4,8.49,3.44
Tyler Higbee,LA,TE,15,60,44,522,11.9,5,126.3,8.42,2.81
Robert Tonyan,GB,TE,15,59,52,586,11.3,11,176.6,11.77,3.4
Giovani Bernard,CIN,RB,16,59,47,355,7.6,3,158.1,9.88,0.92
Breshad Perriman,NYJ,WR,12,59,30,505,16.8,3,99.1,8.26,3.2
Demarcus Robinson,KC,WR,15,59,45,466,10.4,3,107.6,7.17,2.39
N'Keal Harry,NE,WR,13,58,33,309,9.4,2,75.9,5.84,2.17
D'Andre Swift,DET,RB,13,57,46,357,7.8,2,189.8,14.6,1.19
KJ Hamler,DEN,WR,12,56,30,381,12.7,3,90.1,7.51,2.31
James Washington,PIT,WR,16,56,30,392,13.1,5,99.2,6.2,3.31
Sammy Watkins,KC,WR,10,55,37,421,11.4,2,88.4,8.84,2.33
Michael J. Thomas,NO,WR,7,55,40,438,11,0,83.9,11.99,2.05
Jalen Guyton,LAC,WR,16,55,28,511,18.3,3,97.1,6.07,3.24
Clyde Edwards-Helaire,KC,RB,13,55,36,297,8.3,1,176,13.54,0.81
Braxton Berrios,NYJ,WR,13,55,37,394,10.6,3,97.3,7.48,2.43
Jalen Reagor,PHI,WR,11,54,31,396,12.8,1,79.2,7.2,2.26
Jakeem Grant,MIA,WR,14,54,36,373,10.4,1,81.3,5.81,2.08
Dalvin Cook,MIN,RB,14,54,44,361,8.2,1,331.8,23.7,0.93
Drew Sample,CIN,TE,16,53,40,349,8.7,1,78.9,4.93,1.97
Scott Miller,TB,WR,14,53,33,501,15.2,3,102.5,7.32,2.85
Anthony Firkser,TEN,TE,15,53,39,387,9.9,1,83.7,5.58,2.15
John Brown,BUF,WR,9,52,33,458,13.9,3,96.8,10.76,2.93
Rashard Higgins,CLE,WR,12,52,37,599,16.2,4,120.9,10.08,3.27
Golden Tate,NYG,WR,12,52,35,388,11.1,2,86.5,7.21,2.47
Miles Sanders,PHI,RB,12,52,28,197,7,0,166.8,13.9,0.87
Devin Singletary,BUF,RB,16,52,38,269,7.1,0,143.5,8.97,0.74
Kareem Hunt,CLE,RB,16,51,38,304,8,5,218.5,13.66,0.93
Tre'Quan Smith,NO,WR,13,50,34,448,13.2,4,103.1,7.93,2.95
Jordan Akins,HOU,TE,13,49,37,403,10.9,1,83.7,6.44,2.2
Cam Sims,WAS,WR,11,48,32,477,14.9,1,86.2,7.84,2.61
Willie Snead,BAL,WR,13,48,33,432,13.1,3,94.2,7.25,2.85
Randall Cobb,HOU,WR,10,48,38,441,11.6,3,100.1,10.01,2.63
Leonard Fournette,TB,RB,12,47,36,233,6.5,0,132,11,0.99
Trey Burton,IND,TE,11,47,28,250,8.9,3,83.3,7.57,2.78
David Moore,SEA,WR,16,47,35,417,11.9,6,118.8,7.43,2.76
Myles Gaskin,MIA,RB,10,47,41,388,9.5,2,164.2,16.42,0.9
Allen Lazard,GB,WR,10,46,33,451,13.7,3,97.8,9.78,2.79
Jerick McKinnon,SF,RB,14,46,33,253,7.7,1,126.2,9.01,1.11
Chris Carson,SEA,RB,12,46,37,287,7.8,4,187.8,15.65,1.06
David Johnson,HOU,RB,12,46,33,314,9.5,2,179.5,14.96,1
Chris Herndon,NYJ,TE,12,46,31,287,9.3,3,73.7,6.14,2.38
Jordan Reed,SF,TE,10,46,26,231,8.9,4,73.1,7.31,2.81
Josh Jacobs,LV,RB,15,45,33,238,7.2,0,231.2,15.41,0.76
Dan Arnold,ARI,TE,14,45,31,438,14.1,4,96.8,6.91,3.12
Denzel Mims,NYJ,WR,9,45,23,357,15.5,0,58.7,6.52,2.55
DaeSean Hamilton,DEN,WR,12,44,23,293,12.7,2,62.3,5.19,2.71
Odell Beckham,CLE,WR,7,44,23,319,13.9,3,86.8,12.4,3.34
Melvin Gordon,DEN,RB,15,44,32,158,4.9,1,198.4,13.23,0.8
Antonio Gibson,WAS,RB,14,44,36,247,6.9,0,202.2,14.44,0.98
Cole Kmet,CHI,TE,13,44,28,243,8.7,2,62,4.77,2.14
Deebo Samuel,SF,WR,7,44,33,391,11.8,1,80.7,11.53,1.97
Henry Ruggs,LV,WR,13,43,26,452,17.4,2,84.1,6.47,2.4
Dawson Knox,BUF,TE,11,43,24,290,12.1,3,67,6.09,2.79
Isaiah Ford,MIA,WR,9,43,28,276,9.9,0,55.6,6.18,1.99
Irv Smith,MIN,TE,12,43,30,365,12.2,5,96.5,8.04,3.22
James Conner,PIT,RB,13,43,35,215,6.1,0,164.5,12.65,0.81
Ronald Jones,TB,RB,14,42,28,165,5.9,1,186.3,13.31,0.85
Jonathan Taylor,IND,RB,15,41,36,299,8.3,1,252.8,16.85,0.94
Tony Pollard,DAL,RB,16,40,28,191,6.8,1,120.6,7.54,0.93
Keke Coutee,HOU,WR,8,40,33,400,12.1,3,87,10.88,2.64
Jacob Hollister,SEA,TE,13,40,25,209,8.4,3,63.9,4.92,2.56
Julian Edelman,NE,WR,6,39,21,315,15,0,56.2,9.37,2.44
Harrison Bryant,CLE,TE,12,38,24,238,9.9,3,61.8,5.15,2.58
Mo Alie-Cox,IND,TE,14,38,31,394,12.7,2,80.4,5.74,2.59
James O'Shaughnessy,JAC,TE,15,38,28,262,9.4,0,54.2,3.61,1.94
Kyle Rudolph,MIN,TE,12,37,28,334,11.9,1,65.4,5.45,2.34
Greg Olsen,SEA,TE,11,37,24,239,10,1,53.9,4.9,2.25
Jeff Smith,NYJ,WR,8,37,17,167,9.8,0,33.7,4.21,1.98
Steven Sims,WAS,WR,11,37,27,265,9.8,1,61.3,5.57,2.19
Lynn Bowden,MIA,WR,9,37,28,211,7.5,0,53.6,5.95,1.45
Boston Scott,PHI,RB,16,36,25,212,8.5,1,95.6,5.98,0.91
Isaiah Wright,WAS,WR,11,35,27,197,7.3,0,48.3,4.39,1.61
Jamaal Williams,GB,RB,14,35,31,236,7.6,1,123.1,8.79,0.82
Adam Humphries,TEN,WR,7,35,23,228,9.9,2,57.8,8.26,2.41
Preston Williams,MIA,WR,8,35,18,288,16,4,70.8,8.85,3.93
Richie James,SF,WR,7,35,23,391,17,1,68.1,9.73,2.96
Quintez Cephus,DET,WR,11,35,20,349,17.5,2,66.9,6.08,3.35
Duke Johnson,HOU,RB,11,35,28,249,8.9,1,84.4,7.67,0.8
Isaiah McKenzie,BUF,WR,15,34,30,282,9.4,5,93.6,6.24,2.34
Malcolm Brown,LA,RB,16,34,23,162,7,0,109,6.81,0.88
Cameron Brate,TB,TE,13,34,28,282,10.1,2,68.2,5.25,2.44
Andy Isabella,ARI,WR,11,34,21,224,10.7,2,54.8,4.98,2.49
Todd Gurley,ATL,RB,15,34,25,164,6.6,0,163.2,10.88,0.74
Miles Boykin,BAL,WR,13,33,19,266,14,4,69.6,5.35,3.66
Jack Doyle,IND,TE,13,33,23,251,10.9,3,64.1,4.93,2.79
Rex Burkhead,NE,RB,10,33,25,192,7.7,3,107.6,10.76,1.17
Kenny Golladay,DET,WR,5,32,20,338,16.9,2,65.8,13.16,3.29
Olamide Zaccheaus,ATL,WR,9,32,20,274,13.7,1,53.4,5.93,2.54
Van Jefferson,LA,WR,13,31,19,220,11.6,1,46.9,3.61,2.35
Collin Johnson,JAC,WR,10,31,18,272,15.1,2,57.2,5.72,3.18
Ian Thomas,CAR,TE,13,31,20,145,7.3,1,40.5,3.12,2.03
Richard Rodgers,PHI,TE,8,31,24,345,14.4,2,70.5,8.81,2.94
Derrick Henry,TEN,RB,16,31,19,114,6,0,331.1,20.69,0.83
Kenyan Drake,ARI,RB,15,31,25,137,5.5,0,192.2,12.81,0.73
Chad Beebe,MIN,WR,10,30,21,201,9.6,2,53.1,5.31,2.53
Brian Hill,ATL,RB,16,30,25,199,8,0,95.4,5.96,0.76
Durham Smythe,MIA,TE,13,30,26,208,8,2,58.8,4.52,2.26
Dion Lewis,NYG,RB,16,30,19,127,6.7,1,59.2,3.7,1.23
Marvin Hall,DET,WR,10,30,17,290,17.1,2,58.1,5.81,3.23
Will Dissly,SEA,TE,14,29,24,251,10.5,2,61.1,4.36,2.55
David Njoku,CLE,TE,11,29,19,213,11.2,2,52.3,4.75,2.75
John Hightower,PHI,WR,10,29,10,167,16.7,0,26.8,2.68,2.44
Darren Fells,HOU,TE,12,29,21,312,14.9,4,76.2,6.35,3.63
Kyle Juszczyk,SF,FB,16,29,19,202,10.6,4,81.6,5.1,2.27
Jeff Wilson,SF,RB,11,28,13,133,10.2,3,142.6,12.96,1.03
Dontrelle Inman,WAS,WR,7,28,18,163,9.1,2,46.3,6.61,2.57
Cedrick Wilson,DAL,WR,10,28,17,189,11.1,2,51.6,5.16,2.58
Marcus Johnson,IND,WR,8,28,14,255,18.2,0,39.5,4.94,2.82
Marquez Callaway,NO,WR,6,27,21,213,10.1,0,42.3,7.05,2.01
Wayne Gallman,NYG,RB,14,27,21,114,5.4,0,136.6,9.76,0.81
Kalen Ballage,LAC,RB,8,27,20,99,5,0,76.9,9.61,0.71
Ito Smith,ATL,RB,14,26,17,75,4.4,0,57.3,4.09,0.71
Joe Mixon,CIN,RB,6,26,21,138,6.6,1,99.6,16.6,0.71
Latavius Murray,NO,RB,15,26,23,176,7.7,1,136.2,9.08,0.81
DeSean Jackson,PHI,WR,5,26,14,236,16.9,1,44.8,8.96,2.99
Darrel Williams,KC,RB,13,26,18,116,6.4,0,52.5,4.04,0.92
Chris Hogan,NYJ,WR,5,26,14,118,8.4,0,25.8,5.16,1.84
Tyler Conklin,MIN,TE,7,26,19,194,10.2,1,44.4,6.34,2.34
Tyron Billy-Johnson,LAC,WR,11,26,20,398,19.9,3,79.5,7.23,3.46
Kerryon Johnson,DET,RB,14,26,19,187,9.8,1,71.8,5.13,1.01
Devin Duvernay,BAL,WR,14,26,20,201,10.1,0,47.1,3.36,1.96
Mack Hollins,MIA,WR,9,25,16,176,11,1,37.6,4.18,2.35
Cordarrelle Patterson,CHI,RB,15,25,21,132,6.3,0,63.3,4.22,0.75
Deonte Harty,NO,WR,9,25,20,186,9.3,1,49.7,5.52,1.91
Joshua Kelley,LAC,RB,13,24,23,148,6.4,0,81.2,6.25,0.61
Chad Hansen,HOU,WR,5,24,17,236,13.9,1,46.6,9.32,2.74
Darrell Henderson,LA,RB,15,24,16,155,9.7,1,130.1,8.67,0.84
Ross Dwelley,SF,TE,10,24,19,245,12.9,1,49.5,4.95,2.61
J.K. Dobbins,BAL,RB,15,24,18,120,6.7,0,164.5,10.97,1.08
Justin Jackson,LAC,RB,8,24,19,173,9.1,0,63.3,7.91,0.81
Noah Brown,DAL,WR,8,23,14,154,11,0,29.8,3.73,1.99
Jalen Richard,LV,RB,12,23,19,138,7.3,0,51.1,4.26,1.25
KeeSean Johnson,ARI,WR,8,23,15,173,11.5,0,32.3,4.04,2.15
Chris Thompson,JAC,RB,6,23,20,146,7.3,1,42.6,7.1,1.58
Mohamed Sanu,DET,WR,6,23,16,178,11.1,1,40.1,6.68,2.36
Auden Tate,CIN,WR,8,22,14,150,10.7,0,29,3.63,2.07
Ray-Ray McCloud,PIT,WR,11,22,20,71,3.6,0,33.6,3.05,1.4
Adam Shaheen,MIA,TE,13,22,12,150,12.5,3,45,3.46,3.75
Jesse James,DET,TE,12,22,14,129,9.2,2,38.9,3.24,2.78
Mike Thomas,CIN,WR,10,21,13,132,10.2,1,30.3,3.03,2.16
Kaden Smith,NYG,TE,13,21,18,112,6.2,0,29.2,2.25,1.62
Devontae Booker,LV,RB,15,21,17,84,4.9,0,85.7,5.71,0.78
Nick Vannett,DEN,TE,11,21,14,95,6.8,1,29.5,2.68,2.11
Freddie Swain,SEA,WR,12,21,13,159,12.2,2,40.9,3.41,3.15
Jamal Agnew,DET,WR,12,20,13,89,6.8,0,25.2,2.1,1.33
Ty Johnson,NYJ,RB,9,20,16,99,6.2,1,63.3,7.03,0.9
Donovan Peoples-Jones,CLE,WR,7,20,14,304,21.7,2,56.4,8.06,4.03
Carlos Hyde,SEA,RB,10,20,16,93,5.8,0,84.9,8.49,0.88
Dare Ogunbowale,JAC,RB,7,20,10,54,5.4,0,29.9,4.27,0.71
Vance McDonald,PIT,TE,9,20,15,99,6.6,0,24.9,2.77,1.66
DeeJay Dallas,SEA,RB,8,20,17,111,6.5,1,56.9,7.11,1.12
Trent Taylor,SF,WR,7,20,10,86,8.6,0,18.6,2.66,1.86
Donald Parham,LAC,TE,10,20,10,159,15.9,3,43.9,4.39,4.39
Ryan Izzo,NE,TE,10,20,13,199,15.3,0,30.9,3.09,2.38
Christian McCaffrey,CAR,RB,3,19,17,146,8.6,1,90,30,1.18
Kenny Stills,HOU,WR,7,19,11,144,13.1,1,31.4,4.49,2.85
Bisi Johnson,MIN,WR,8,19,14,189,13.5,0,32.9,4.11,2.35
LeSean McCoy,TB,RB,8,19,15,101,6.7,0,28.2,3.53,1.13
Raheem Mostert,SF,RB,8,19,16,156,9.8,1,99.7,12.46,0.83
Zay Jones,LV,WR,11,19,14,154,11,1,36.6,3.32,2.61
Frank Gore,NYJ,RB,15,19,16,89,5.6,0,100.2,6.68,0.49
O.J. Howard,TB,TE,4,19,11,146,13.3,2,37.6,9.4,3.42
Zack Moss,BUF,RB,13,18,14,95,6.8,1,101.6,7.82,0.81
Tyler Johnson,TB,WR,10,18,12,169,14.1,2,40.9,4.09,3.41
Christian Blake,ATL,WR,7,18,13,141,10.8,0,27.1,3.87,2.08
Adrian Peterson,DET,RB,16,18,12,101,8.4,0,124.5,7.78,0.74
Nick Chubb,CLE,RB,12,18,16,150,9.4,0,207.5,17.29,1.01
Brandon Powell,ATL,WR,10,18,12,69,5.8,2,29.6,2.96,2.11
Byron Pringle,KC,WR,5,17,13,160,12.3,1,35,7,2.69
Alec Ingold,LV,FB,11,17,12,110,9.2,1,29.4,2.67,1.96
Marcedes Lewis,GB,TE,10,17,10,107,10.7,3,38.7,3.87,3.87
Jason Witten,LV,TE,10,17,13,69,5.3,2,31.9,3.19,2.45
Le'Veon Bell,KC,RB,9,17,13,99,7.6,0,53.1,5.9,0.7
Jeremy McNichols,TEN,RB,15,17,12,55,4.6,0,43.9,2.93,0.74
Alex Erickson,CIN,WR,9,17,12,139,11.6,0,24.6,2.73,1.45
Nick Boyle,BAL,TE,9,17,14,113,8.1,2,37.3,4.14,2.66
KhaDarel Hodge,CLE,WR,7,17,11,180,16.4,0,29,4.14,2.64
Tyler Kroft,BUF,TE,6,16,12,119,9.9,3,41.9,6.98,3.49
Pharaoh Brown,HOU,TE,8,16,14,163,11.6,2,42.3,5.29,3.02
C.J. Board,NYG,WR,9,16,11,101,9.2,0,21.4,2.38,1.78
Jordan Wilkins,IND,RB,12,16,12,105,8.8,0,59.3,4.94,0.62
Adam Trautman,NO,TE,10,16,15,171,11.4,1,38.1,3.81,2.54
Jace Sternberger,GB,TE,8,15,12,114,9.5,1,29.4,3.68,2.45
Keith Smith,ATL,FB,12,15,11,59,5.4,0,17.6,1.47,1.17
Tyler Ervin,GB,RB,7,15,11,84,7.6,0,26.1,3.73,1.09
La'Mical Perine,NYJ,RB,9,15,11,63,5.7,0,52.4,5.82,0.7
Albert Okwuegbunam,DEN,TE,4,15,11,121,11,1,29.1,7.28,2.65
Bryan Edwards,LV,WR,9,15,11,193,17.5,1,36.3,4.03,3.3
Troy Fumagalli,DEN,TE,7,15,8,80,10,1,22,3.14,2.75
Alexander Mattison,MIN,RB,13,15,13,125,9.6,1,86.9,6.68,0.8
Kalif Raymond,TEN,WR,8,15,9,187,20.8,0,27.4,3.43,2.74
Blake Bell,DAL,TE,11,15,11,110,10,0,22.2,2.02,1.85
Phillip Lindsay,DEN,RB,11,14,7,28,4,0,66,6,0.53
C.J. Ham,MIN,FB,11,14,8,97,12.1,1,25.5,2.32,1.96
Benny Snell,PIT,RB,15,14,10,61,6.1,0,74.9,4.99,0.62
Cam Akers,LA,RB,11,14,11,123,11.2,1,101.8,9.25,0.65
Jaylen Samuels,PIT,RB,8,14,9,46,5.1,0,16.4,2.05,0.91
Salvon Ahmed,MIA,RB,6,14,11,61,5.5,0,67,11.17,0.78
Gus Edwards,BAL,RB,16,14,9,129,14.3,0,128.3,8.02,0.84
Demetrius Harris,CHI,TE,7,14,7,45,6.4,0,11.5,1.64,1.64
Cameron Batson,TEN,WR,9,13,12,100,8.3,1,30,3.33,1.88
Royce Freeman,DEN,RB,11,13,12,81,6.8,0,37.1,3.37,0.79
Quez Watkins,PHI,WR,4,13,7,106,15.1,1,23.6,5.9,3.37
Equanimeous St. Brown,GB,WR,8,13,7,117,16.7,1,25.4,3.18,3.18
Malcolm Perry,MIA,WR,8,13,9,92,10.2,1,24.7,3.09,2.06
Taysom Hill,NO,QB,16,13,8,98,12.3,1,158.6,9.91,1.67
Alshon Jeffery,PHI,WR,7,13,6,115,19.2,1,23.5,3.36,3.92
Samaje Perine,CIN,RB,11,12,11,66,6,0,65.7,5.97,0.89
Geoff Swaim,TEN,TE,6,12,9,83,9.2,1,23.3,3.88,2.59
Patrick Ricard,BAL,FB,8,12,9,45,5,1,17,2.13,1.7
Ryan Griffin,NYJ,TE,5,12,9,86,9.6,0,17.6,3.52,1.96
Javon Wims,CHI,WR,9,12,6,48,8,1,17,1.89,2.43
Patrick Laird,MIA,RB,9,12,10,68,6.8,0,22,2.44,0.96
Justin Watson,TB,WR,3,11,7,94,13.4,0,16.4,5.47,2.34
Stephen Anderson,LAC,TE,3,11,8,106,13.3,0,18.6,6.2,2.33
Luke Stocker,ATL,TE,9,11,7,63,9,0,13.3,1.48,1.9
Dez Bryant,BAL,WR,4,11,6,47,7.8,2,22.7,5.68,3.78
Rodney Smith,CAR,RB,7,11,9,59,6.6,0,36.5,5.21,0.73
Deon Yelder,KC,TE,6,11,7,36,5.1,0,10.6,1.77,1.51
Ja'Marcus Bradley,CLE,WR,1,11,5,60,12,0,11,11,2.2
C.J. Uzomah,CIN,TE,2,11,8,87,10.9,1,22.7,11.35,2.84
Darrell Daniels,ARI,TE,8,11,8,92,11.5,1,23.2,2.9,2.9
Darwin Thompson,KC,RB,5,11,7,65,9.3,1,33.2,6.64,0.98
KJ Hill,LAC,WR,5,11,7,73,10.4,0,14.3,2.86,2.04
Austin Mack,NYG,WR,5,11,7,91,13,0,16.1,3.22,2.3
Anthony McFarland,PIT,RB,11,10,6,54,9,0,22.7,2.06,0.58
Juwan Johnson,NO,TE,5,10,4,39,9.8,0,7.9,1.58,1.98
Damion Ratley,NYG,WR,5,10,4,63,15.8,0,10.3,2.06,2.58
Nick Keizer,KC,TE,8,10,6,63,10.5,0,10.3,1.29,1.72
Kalen Ballage,NYJ,RB,3,10,9,67,7.4,0,17,5.67,1.42
Devonta Freeman,NYG,RB,5,10,7,58,8.3,0,36,7.2,0.59
Jaydon Mickens,TB,WR,2,10,7,58,8.3,0,12.8,6.4,1.83
Maxx Williams,ARI,TE,6,10,8,102,12.8,1,24.2,4.03,3.03
Troymaine Pope,LAC,RB,4,10,8,42,5.3,0,19.8,4.95,0.86
Josh Hill,NO,TE,8,10,8,46,5.8,1,18.6,2.33,2.33
Matt Breida,MIA,RB,10,10,9,96,10.7,0,42,4.2,0.62
Travis Homer,SEA,RB,9,10,9,90,10,1,32.8,3.64,0.96
