Player,Team,Pos,Games,Snap%,Att,DB,Cmp,Cmp%,Yds,YPA,YPC,aDOT,YAC,TD,INT,INT-6,Sack,Sack%,Rtg,PPR,PPR/G
Jarvis Landry,CLE,WR,15,0.713,4,4,4,1,74,18.5,18.5,14.5,4.5,1,0,0,0,0,158.3,187.7,12.51
Logan Woodside,TEN,QB,5,0.054,3,3,1,0.333,7,2.3,7,6.7,0,0,0,0,0,0,42.4,1.3,0.26
Russell Gage,ATL,WR,16,0.681,2,2,1,0.5,39,19.5,39,37.5,1,1,0,0,0,0,135.4,181.1,11.32
Julian Edelman,NE,WR,6,0.679,2,2,2,1,38,19,19,-1.5,20.5,0,0,0,0,0,118.8,56.2,9.37
Travis Kelce,KC,TE,15,0.857,2,2,1,0.5,4,2,4,1,7,0,0,0,0,0,56.3,310.8,20.72
Golden Tate,NYG,WR,12,0.498,2,2,1,0.5,18,9,18,-3,24,0,0,0,0,0,81.3,86.5,7.21
Cedrick Wilson,DAL,WR,10,0.22,2,2,2,1,23,11.5,11.5,1,10.5,1,0,0,0,0,154.2,51.6,5.16
Jakobi Meyers,NE,WR,12,0.871,2,2,2,1,43,21.5,21.5,19.5,3.5,2,0,0,0,0,158.3,140.5,11.71
Lynn Bowden,MIA,WR,9,0.505,2,2,1,0.5,32,16,32,7,35,0,0,0,0,0,95.8,53.6,5.95
Tyler Boyd,CIN,WR,15,0.78,2,2,1,0.5,16,8,16,0.5,22,0,0,0,0,0,77.1,192.6,12.84
Jamison Crowder,NYJ,WR,12,0.887,1,1,1,1,43,43,43,27,16,1,0,0,0,0,158.3,172,14.34
AJ McCarron,HOU,QB,2,0.02,1,2,1,1,20,20,20,17,3,0,0,0,1,0.5,118.8,0.8,0.4
Chris Jones,DAL,K,2,0,1,1,0,0,0,0,0,9,0,0,0,0,0,0,39.6,0,0
Greg Ward,PHI,WR,16,0,1,1,1,1,15,15,15,15,0,0,0,0,0,0,118.8,131.1,8.19
Jamal Agnew,DET,WR,12,0,1,1,0,0,0,0,0,13,0,0,0,0,0,0,39.6,25.2,2.1
Brett Kern,TEN,P,1,0,1,1,0,0,0,0,0,17,0,0,0,0,0,0,39.6,0,0
Joseph Charlton,CAR,P,2,0,1,2,1,1,28,28,28,17,11,0,0,0,1,0.5,118.8,1.1,0.56
Riley Dixon,NYG,P,1,0,1,1,0,0,0,0,0,10,0,0,0,0,0,0,39.6,0,0
Odell Beckham,CLE,WR,7,0.702,1,1,1,1,18,18,18,17,1,0,0,0,0,0,118.8,86.8,12.4
Jaquan Johnson,BUF,FS,1,0,1,1,1,1,13,13,13,9,4,0,0,0,0,0,118.8,0.5,0.52
Andy Lee,ARI,P,1,0,1,1,1,1,26,26,26,13,13,0,0,0,0,0,118.8,1,1.04
Isaiah McKenzie,BUF,WR,15,0,1,1,1,1,12,12,12,-5,17,1,0,0,0,0,156.3,93.6,6.24
Keenan Allen,LAC,WR,14,0.836,1,1,0,0,0,0,0,15,0,0,0,0,0,0,39.6,243.1,17.36
Cole Beasley,BUF,WR,15,0,1,1,1,1,20,20,20,23,0,1,0,0,0,0,158.3,207.5,13.83
Isaiah Wright,WAS,WR,11,0.437,1,1,0,0,0,0,0,0,0,0,0,0,0,0,39.6,48.3,4.39
DJ Moore,CAR,WR,15,0.863,1,1,0,0,0,0,0,6,0,0,0,0,0,0,39.6,211.5,14.1
Randall Cobb,HOU,WR,10,0.603,1,1,0,0,0,0,0,16,0,0,0,0,0,0,39.6,100.1,10.01
Sammy Watkins,KC,WR,10,0.733,1,1,0,0,0,0,0,21,0,0,1,0,0,0,0,88.4,8.84
Zach Pascal,IND,WR,16,0.764,1,1,0,0,0,0,0,13,0,0,0,0,0,0,39.6,136.9,8.56
Zay Jones,LV,WR,11,0.324,1,1,1,1,29,29,29,26,3,0,0,0,0,0,118.8,36.6,3.32
Alex Erickson,CIN,WR,9,0.309,1,1,0,0,0,0,0,22,0,0,0,0,0,0,39.6,24.6,2.73
Logan Thomas,WAS,TE,16,0.925,1,1,1,1,28,28,28,28,0,0,0,0,0,0,118.8,176.6,11.04
Sam Koch,BAL,P,1,0,1,1,1,1,15,15,15,9,6,0,0,0,0,0,118.8,0.6,0.6
Tommy Townsend,KC,P,1,0,1,1,1,1,13,13,13,6,7,0,0,0,0,0,118.8,0.5,0.52
Easton Stick,LAC,QB,1,0.02,1,1,1,1,4,4,4,1,3,0,0,0,0,0,83.3,0,-0.04
