Player,Team,Pos,Games,Att,Yds,YPA,TD,Fum,FumL,PPR,PPR/G,PPR/T
Michael Palardy,MIA,K,1,1,1,1,0,0,0,0.1,0.1,0.1
Nate McCrary,BAL,RB,1,1,-1,-1,0,0,0,-0.1,-0.1,-0.1
Maurice Ffrench,LAC,WR,1,1,3,3,0,0,0,0.3,0.3,0.3
Ryan Fitzpatrick,WAS,QB,1,1,2,2,0,1,0,0.7,0.72,0.72
Braden Mann,NYJ,P,1,1,4,4,0,0,0,0.4,0.4,0.4
Cyril Grayson,TB,WR,3,1,14,14,0,0,0,44.6,14.87,4.05
Alex Bachman,NYG,WR,1,1,-3,-3,0,0,0,-0.3,-0.3,-0.3
Darius Slayton,NYG,WR,13,1,-13,-13,0,1,1,68.6,5.28,2.54
Cam Sims,WAS,WR,10,1,7,7,0,0,0,48.8,4.88,3.05
Kenny Stills,NO,WR,7,1,1,1,0,0,0,18.9,2.7,2.7
Dyami Brown,WAS,WR,9,1,-4,-4,0,0,0,28.1,3.12,2.16
Jordan Akins,HOU,TE,12,1,3,3,0,2,2,41.7,3.48,1.67
Chris Conley,HOU,WR,14,1,3,3,0,1,1,64.6,4.61,2.81
Randall Cobb,GB,WR,11,1,1,1,0,0,0,95.6,8.69,3.3
Chester Rogers,TEN,WR,16,1,9,9,0,0,0,67,4.19,2.16
Joshua Palmer,LAC,WR,15,1,6,6,0,0,0,92.9,6.19,2.73
David Njoku,CLE,TE,15,1,1,1,0,0,0,107.6,7.17,2.91
Sterling Shepard,NYG,WR,7,1,-9,-9,0,0,0,77.7,11.1,2.1
Olamide Zaccheaus,ATL,WR,15,1,2,2,0,0,0,89.8,5.99,2.81
Bryan Edwards,LV,WR,16,1,0,0,0,1,0,110.1,6.88,3.15
Antonio Brown,TB,WR,7,1,6,6,0,0,0,121.1,17.3,2.82
DeSean Jackson,LV,WR,8,1,4,4,0,1,1,39.7,4.96,3.05
Quez Watkins,PHI,WR,17,1,3,3,0,0,0,114,6.71,2.59
Evan Engram,NYG,TE,15,1,-3,-3,0,1,1,102.5,6.83,2.18
Zach Ertz,ARI,TE,11,1,4,4,0,0,0,131.8,11.98,2.31
K.J. Osborn,MIN,WR,17,1,10,10,0,0,0,158.5,9.32,3.11
Cole Kmet,CHI,TE,17,1,0,0,0,0,0,121.2,7.13,1.99
Adam Thielen,MIN,WR,13,1,2,2,0,1,0,199.8,15.37,2.94
Christian Kirk,ARI,WR,17,1,11,11,0,0,0,209.2,12.31,2.68
Mike Evans,TB,WR,16,1,10,10,0,0,0,262.5,16.41,3.5
Jakobi Meyers,NE,WR,16,1,9,9,0,1,1,182.4,11.4,2.17
DK Metcalf,SEA,WR,17,1,6,6,0,1,0,244.3,14.37,3.21
Terry McLaurin,WAS,WR,17,1,12,12,0,0,0,213.5,12.56,2.74
Marquise Brown,BAL,WR,16,1,5,5,0,2,0,228.3,14.27,2.48
Mark Andrews,BAL,TE,17,1,0,0,0,1,0,297.1,17.48,2.75
John Ross,NYG,WR,9,1,16,16,0,1,0,41,4.56,3.42
Eric Ebron,PIT,TE,8,1,1,1,1,0,0,32.5,4.06,2.5
Andrew Wingard,JAC,FS,1,1,4,4,0,0,0,0.4,0.4,0.4
Trey Ragas,LV,RB,1,1,9,9,0,0,0,3.5,3.5,1.17
C.J. Moore,DET,FS,1,1,28,28,0,0,0,2.8,2.8,2.8
Clayton Fejedelem,MIA,SS,1,1,0,0,0,1,1,-2,-2,-2
David Blough,DET,QB,1,1,6,6,0,1,0,0.6,0.6,0.6
Sean Chandler,CAR,SS,1,1,14,14,0,0,0,1.4,1.4,1.4
Ito Smith,DAL,RB,1,1,4,4,1,0,0,6.4,6.4,6.4
C.J. Beathard,JAC,QB,2,1,2,2,0,0,0,1.5,0.76,1.52
Tremon Smith,HOU,CB,1,1,7,7,0,0,0,0.7,0.7,0.7
Trenton Cannon,SF,RB,1,1,-1,-1,0,0,0,-0.1,-0.1,-0.1
Devine Ozigbo,NO,RB,1,1,-3,-3,0,0,0,1.4,1.4,0.7
Ryan Nall,CHI,RB,2,1,4,4,0,0,0,1.8,0.9,0.9
Gary Brightwell,NYG,RB,2,1,4,4,0,0,0,2,1,1
Mekhi Sargent,JAC,RB,1,1,2,2,0,0,0,0.2,0.2,0.2
Reggie Bonnafon,CAR,RB,1,1,4,4,0,0,0,3.6,3.6,1.2
Derek Watt,PIT,FB,4,1,1,1,0,0,0,4.6,1.15,1.15
Breshad Perriman,TB,WR,5,1,-3,-3,0,0,0,33.4,6.68,2.78
Gunner Olszewski,NE,WR,4,1,9,9,0,0,0,6,1.5,2
Patrick Laird,MIA,RB,3,1,4,4,0,0,0,5.1,1.7,1.28
Greg Dortch,ARI,WR,2,1,24,24,0,0,0,6.9,3.45,1.73
Stanley Morgan,CIN,WR,3,1,3,3,0,0,0,3.4,1.13,1.13
C.J. Board,NYG,WR,4,1,6,6,0,0,0,9.7,2.43,1.94
Amari Rodgers,GB,WR,4,1,11,11,0,0,0,9.6,2.4,1.92
Shi Smith,CAR,WR,5,1,-3,-3,0,0,0,16.1,3.22,2.3
Pharoh Cooper,NYG,WR,6,1,3,3,0,0,0,7.6,1.27,1.52
Phillip Dorsett,HOU,WR,3,1,0,0,0,0,0,16.7,5.57,2.39
Jaelon Darden,TB,WR,7,1,11,11,0,0,0,11.4,1.63,1.63
Dax Milne,WAS,WR,9,1,1,1,0,1,1,15.4,1.71,1.54
Preston Williams,MIA,WR,6,1,7,7,0,0,0,13.8,2.3,1.97
Jeff Smith,NYJ,WR,8,1,-1,-1,0,0,0,19.2,2.4,2.13
Andy Lee,ARI,P,1,1,0,0,0,1,1,-2,-2,-2
