rank,id,player,team,pos,game.week,opp,rush_att,rush_yds,rush_yds_per_att,rush_td,rec_tgt,rec,rec_yds,rec_td,fum,fum_lost,fpts_ppr
180,23202,SaRodorick Thompson Jr.,LA,RB,1,DET,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,23209,Mohamed Ibrahim,MIN,RB,1,NYG,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,24517,Hassan Hall,ARI,RB,1,BUF,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,25065,Jacob Kibodi,NO,RB,1,CAR,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,25072,Jalen Jackson,JAC,RB,1,MIA,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,25074,Jarveon Howard,GB,RB,1,PHI,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,25108,Michael Wiley,WAS,RB,1,TB,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,25508,Elijah Collins,CIN,RB,1,NE,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,24732,Henry Pearson,GB,RB,1,PHI,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,25440,D.J. Williams,TB,RB,1,WAS,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,24312,Jacob Saylors,CLE,RB,1,DAL,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,23301,Jashaun Corbin,NYG,RB,1,MIN,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0
192,20039,Boston Scott,LA,RB,1,DET,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,24595,Zavier Scott,IND,RB,1,HOU,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,24215,Lew Nichols,PHI,RB,1,GB,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,25851,Kairee Robinson,SEA,RB,1,DEN,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,25452,British Brooks,HOU,RB,1,IND,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,23231,Tyler Badie,DEN,RB,1,SEA,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,19919,Chase Edmonds,TB,RB,1,WAS,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,22902,Ben Mason,LAC,RB,1,LV,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,25497,Lorenzo Lingard,JAC,RB,1,MIA,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0
201,24214,Keaton Mitchell,BAL,RB,1,KC,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,21782,Jonathan Ward,PIT,RB,1,ATL,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,25050,Chris Collier,BAL,RB,1,KC,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
