rank,id,player,team,pos,game.week,opp,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_yds_per_att,pass_td,pass_int,pass_rating,rush_att,rush_yds,rush_yds_per_att,rush_td,fpts_ppr
66,17179,Taylor Heinicke,ATL,QB,1,PIT,0.0,0.0,,2.3,,0.0,0.0,0.0,0.1,0.2,4.0,0.0,0.1
67,18811,Mitchell Trubisky,BUF,QB,1,ARI,1.2,1.3,92.3,7.6,5.8,0.0,0.1,100.0,0.1,0.1,1.0,0.0,0.1
68,23118,Malik Willis,GB,QB,1,PHI,0.0,0.0,,1.4,,0.0,0.0,0.0,0.1,0.5,5.0,0.0,0.1
69,23477,Skylar Thompson,MIA,QB,1,JAC,0.0,0.0,,2.4,,0.0,0.0,0.0,0.2,0.1,0.5,0.0,0.1
70,23118,Malik Willis,TEN,QB,1,CHI,0.0,0.0,,0.6,,0.0,0.0,0.0,0.1,0.2,4.0,0.0,0.0
71,24175,Max Duggan,LAC,QB,1,LV,0.0,0.0,,0.2,,0.0,0.0,0.0,0.0,0.1,,0.0,0.0
72,23647,Anthony Brown,LV,QB,1,LAC,0.0,0.0,,0.2,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
73,24767,Dresser Winn,LA,QB,1,DET,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
74,23629,Chris Oladokun,KC,QB,1,BAL,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
75,19972,Mike White,MIA,QB,1,JAC,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
76,24983,Michael Pratt,GB,QB,1,PHI,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
77,25025,Joe Milton III,NE,QB,1,CIN,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
78,19972,Mike White,BUF,QB,1,ARI,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
79,25590,John Paddock,ATL,QB,1,PIT,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
80,25044,Carter Bradley,LV,QB,1,LAC,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
81,20507,Luis Perez,LAC,QB,1,LV,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
82,20283,Tim Boyle,HOU,QB,1,IND,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
83,25311,John Rhys Plumlee,PIT,QB,1,ATL,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
84,24625,Tommy Devito,NYG,QB,1,MIN,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
85,25111,Devin Leary,BAL,QB,1,KC,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
86,19029,Nathan Peterman,LV,QB,1,LAC,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
87,25116,Jordan Travis,NYJ,QB,1,SF,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
88,20703,John Wolford,TB,QB,1,WAS,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
89,23182,Kedon Slovis,IND,QB,1,HOU,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
90,24507,Adrian Martinez,NYJ,QB,1,SF,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
91,23647,Anthony Brown,BUF,QB,1,ARI,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
92,21810,Tyler Huntley,CLE,QB,1,DAL,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
93,24171,Jaren Hall,MIN,QB,1,NYG,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
94,25109,Sam Hartman,WAS,QB,1,TB,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
95,18104,Nate Sudfeld,DET,QB,1,LA,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
96,20055,Logan Woodside,CIN,QB,1,NE,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
97,25706,Andrew Peasley,NYJ,QB,1,SF,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
98,15694,Case Keenum,HOU,QB,1,IND,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
99,19191,PJ Walker,SEA,QB,1,DEN,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
100,21815,Sam Ehlinger,IND,QB,1,HOU,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
101,20779,Will Grier,PHI,QB,1,GB,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
102,25372,Zack Annexstad,TB,QB,1,WAS,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
103,25506,Casey Bauman,LAC,QB,1,LV,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
104,16041,Jimmy Garoppolo,LA,QB,1,DET,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
105,18973,C.J. Beathard,JAC,QB,1,MIA,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
106,25114,Austin Reed,CHI,QB,1,TEN,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
107,21828,Jake Fromm,DET,QB,1,LA,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
