rank,id,player,team,pos,game.week,opp,rec_tgt,rec,catch_rate,rec_yds,rec_td,rec_yds_per_tgt,rec_yds_per_rec,rush_att,rush_yds,rush_yds_per_att,rush_td,fum,fum_lost,fpts_ppr
102,15974,Jordan Matthews,CAR,TE,3,LV,0.1,0.0,0.0,1.0,0.0,10.0,,0.0,0.0,,0.0,0.0,0.0,0.1
103,3061,Marcedes Lewis,CHI,TE,3,IND,0.1,0.0,0.0,0.9,0.0,9.0,,0.0,0.0,,0.0,0.0,0.0,0.1
104,23101,Parker Hesse,DET,TE,3,ARI,0.1,0.0,0.0,0.8,0.0,8.0,,0.0,0.0,,0.0,0.0,0.0,0.1
105,23662,Jake Tonges,SF,TE,3,LA,0.1,0.0,0.0,0.8,0.0,8.0,,0.0,0.0,,0.0,0.0,0.0,0.1
106,24533,Ben Sims,GB,TE,3,TEN,0.1,0.0,0.0,0.8,0.0,8.0,,0.0,0.0,,0.0,0.0,0.0,0.1
107,23335,Cole Fotheringham,LV,TE,3,CAR,0.0,0.0,,0.7,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.1
108,20770,Zach Gentry,LV,TE,3,CAR,0.0,0.0,,0.7,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.1
109,17223,Eric Tomlinson,IND,TE,3,CHI,0.0,0.0,,0.7,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.1
110,22512,Tre' McKitty,BUF,TE,3,JAC,0.1,0.0,0.0,0.4,0.0,4.0,,0.0,0.0,,0.0,0.0,0.0,0.0
111,23867,Armani Rogers,PHI,TE,3,NO,0.1,0.0,0.0,0.4,0.0,4.0,,0.0,0.0,,0.0,0.0,0.0,0.0
112,24718,Brady Russell,SEA,TE,3,MIA,0.0,0.0,,0.2,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
113,23618,Ko Kieft,TB,TE,3,DEN,0.0,0.0,,0.1,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
114,22498,Feleipe Franks,CAR,TE,3,LV,0.0,0.0,,0.0,0.0,,,0.0,0.1,5.0,0.0,0.0,0.0,0.0
115,19910,Ian Thomas,CAR,TE,3,LV,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
116,24908,La'Michael Pettway,NE,TE,3,NYJ,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
117,25420,Jacob Warren,NE,TE,3,NYJ,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
118,25563,Neal Johnson,NYJ,TE,3,NE,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,0.0
119,24211,Zack Kuntz,NYJ,TE,3,NE,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
120,25486,Brenden Bates,NYJ,TE,3,NE,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
121,25692,Lincoln Sefcik,NYJ,TE,3,NE,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
122,22514,Kenny Yeboah,NYJ,TE,3,NE,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
123,19296,Anthony Firkser,NYJ,TE,3,NE,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
124,21800,Mitchell Wilcox,NE,TE,3,NYJ,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
125,25712,Mason Fairchild,NO,TE,3,PHI,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
126,23107,Michael Jacobson,NO,TE,3,PHI,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
127,20134,Kevin Rader,NO,TE,3,PHI,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
128,24800,E.J. Jenkins,PHI,TE,3,NO,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
129,25391,McCallan Castles,PHI,TE,3,NO,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
130,22661,Jack Stoll,PHI,TE,3,NO,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
131,25621,Treyton Welch,NO,TE,3,PHI,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
132,25608,Kevin Foelsch,PHI,TE,3,NO,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
133,21794,Albert Okwuegbunam Jr.,PHI,TE,3,NO,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
134,21781,Sean McKeon,IND,TE,3,CHI,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
135,25486,Brenden Bates,CHI,TE,3,IND,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
136,21278,Stephen Carlson,CHI,TE,3,IND,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
137,23490,Jelani Woods,IND,TE,3,CHI,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
138,20957,Tommy Sweeney,CHI,TE,3,IND,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
139,24886,Jordan Murray,IND,TE,3,CHI,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
140,25563,Neal Johnson,MIN,TE,3,HOU,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
141,20949,Irv Smith,HOU,TE,3,MIN,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
142,23335,Cole Fotheringham,HOU,TE,3,MIN,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
143,22506,Brevin Jordan,HOU,TE,3,MIN,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
144,21531,Chris Myarick,HOU,TE,3,MIN,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
145,20805,T.J. Hockenson,MIN,TE,3,HOU,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
146,21808,Dalton Keene,HOU,TE,3,MIN,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
147,22915,Sammis Reyes,MIN,TE,3,HOU,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
148,19491,Robert Tonyan,MIN,TE,3,HOU,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
149,23621,Nick Muse,MIN,TE,3,HOU,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
150,25142,Trey Knox,MIN,TE,3,HOU,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
151,25300,Isaac Rex,LAC,TE,3,PIT,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
152,25319,Zach Heins,LAC,TE,3,PIT,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
153,21158,Matt Sokol,PIT,TE,3,LAC,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
154,23711,Rodney Williams,PIT,TE,3,LAC,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
155,24021,Tucker Fisk,LAC,TE,3,PIT,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
156,25394,Luke Benson,LAC,TE,3,PIT,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
157,22407,Tyler Mabry,SEA,TE,3,MIA,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
158,25123,Jack Westover,SEA,TE,3,MIA,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
159,23737,Tanner Conner,MIA,TE,3,SEA,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
160,25860,Devon Garrison,SEA,TE,3,MIA,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
161,25529,Hayden Rucci,MIA,TE,3,SEA,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
162,24630,Michael Ezeike,SEA,TE,3,MIA,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
163,25621,Treyton Welch,CLE,TE,3,NYG,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
164,17005,Geoff Swaim,CLE,TE,3,NYG,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
165,24354,Blake Whiteheart,CLE,TE,3,NYG,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
166,23720,Zaire Mitchell-Paden,CLE,TE,3,NYG,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
167,21728,Lawrence Cager,NYG,TE,3,CLE,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
168,24421,Cameron Latu,CLE,TE,3,NYG,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
169,24617,Princeton Fant,DAL,TE,3,BAL,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
170,25518,Alec Holler,DAL,TE,3,BAL,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
171,25601,Riley Sharp,BAL,TE,3,DAL,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
172,25711,Qadir Ismail,BAL,TE,3,DAL,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
173,22238,Scotty Washington,BAL,TE,3,DAL,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
174,24776,John Stephens Jr.,DAL,TE,3,BAL,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
175,25598,Mike Rigerman,BAL,TE,3,DAL,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
176,23720,Zaire Mitchell-Paden,BAL,TE,3,DAL,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
177,20199,David Wells,TB,TE,3,DEN,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
178,22663,Hunter Kampmoyer,DEN,TE,3,TB,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
179,23105,Sal Cannella,TB,TE,3,DEN,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
180,20905,Donald Parham Jr.,DEN,TE,3,TB,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
181,13250,DJ Williams,TB,TE,3,DEN,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
182,24535,Tanner Taula,TB,TE,3,DEN,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
183,25395,Thomas Yassmin,DEN,TE,3,TB,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
184,20812,Jesper Horsted,CAR,TE,3,LV,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
