rank,id,player,team,pos,game.week,opp,rush_att,rush_yds,rush_yds_per_att,rush_td,rec_tgt,rec,rec_yds,rec_td,fum,fum_lost,fpts_ppr
228,23209,Mohamed Ibrahim,MIN,RB,2,SF,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,24215,Lew Nichols,PHI,RB,2,ATL,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,22672,Gary Brightwell,CLE,RB,2,JAC,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,24595,Zavier Scott,MIN,RB,2,SF,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,19912,Nyheim Hines,CLE,RB,2,JAC,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,19798,Nick Chubb,CLE,RB,2,JAC,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,22535,Elijah Mitchell,SF,RB,2,MIN,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,25066,Aidan Robbins,CLE,RB,2,JAC,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,25683,Kobe Lewis,SEA,RB,2,NE,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,25851,Kairee Robinson,SEA,RB,2,NE,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,23345,Kevin Harris,NE,RB,2,SEA,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,25090,Terrell Jennings,NE,RB,2,SEA,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
