"Player","Tm","Pos","Opp","PaCom","PaAtt","PaYds","PaTDs","INT","RuAtt","RuYds","RuTDs","Tar","Rec","ReYds","ReTDs","Fum","FGM","39M","49M","50M","XPM","Sks","FR","DINT","DTD","PPG","Yds","0.5","PPR","Non"
"Jordan Matthews","CAR","TE","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.2","0.8","6.9","0.0","0.0","","","","","","","","","","","","1.4","1.8","1.0"
"Skyy Moore","KC","WR","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.7","0.5","5.9","0.0","0.0","","","","","","","","","","","","1.1","1.4","0.9"
"Ronnie Bell","SF","WR","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.8","0.5","5.9","0.0","0.0","","","","","","","","","","","","1.1","1.4","0.9"
"Bryce Young","CAR","QB","LAC","18.8","30.2","183.2","0.9","0.7","2.8","12.9","0.1","0.0","0.0","0.0","0.0","0.3","","","","","","","","","","","","12.0","12.0","12.0"
"David Moore","CAR","WR","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.9","0.5","6.9","0.0","0.0","","","","","","","","","","","","1.1","1.4","0.9"
"KhaDarel Hodge","ATL","WR","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.7","0.5","6.9","0.0","0.0","","","","","","","","","","","","1.1","1.4","0.9"
"Grant Calcaterra","PHI","TE","ATL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.7","6.9","0.0","0.0","","","","","","","","","","","","1.3","1.7","1.0"
"Jordan Whittington","LA","WR","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.8","0.5","5.9","0.0","0.0","","","","","","","","","","","","1.1","1.3","0.8"
"Jacoby Brissett","NE","QB","SEA","17.7","28.3","196.4","0.6","0.8","4.5","17.8","0.1","0.0","0.0","0.0","0.0","0.3","","","","","","","","","","","","11.9","11.9","11.9"
"Grant DuBose","MIA","WR","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4","5.0","0.1","0.0","","","","","","","","","","","","1.1","1.3","0.9"
