rank,id,player,team,pos,game.week,opp,rec_tgt,rec,catch_rate,rec_yds,rec_td,rec_yds_per_tgt,rec_yds_per_rec,rush_att,rush_yds,rush_yds_per_att,rush_td,fum,fum_lost,fpts_ppr
167,20150,Byron Pringle,WAS,WR,2,NYG,0.7,0.3,42.9,2.3,0.0,3.3,7.7,0.0,0.1,5.0,0.0,0.0,0.0,0.5
168,20788,Mecole Hardman,KC,WR,2,CIN,0.7,0.2,28.6,3.1,0.0,4.4,15.5,0.1,0.1,1.0,0.0,0.0,0.0,0.5
169,23160,John Metchie III,HOU,WR,2,CHI,0.5,0.2,40.0,3.0,0.0,6.0,15.0,0.0,0.0,,0.0,0.0,0.0,0.5
170,22627,Ronnie Bell,SF,WR,2,MIN,0.9,0.2,22.2,2.9,0.0,3.2,14.5,0.0,0.0,,0.0,0.0,0.0,0.5
171,21741,Denzel Mims,JAC,WR,2,CLE,0.0,0.2,,2.2,0.0,,12.1,0.0,0.0,,0.0,0.0,0.0,0.5
172,24076,Josh Ali,ATL,WR,2,PHI,0.0,0.2,,2.2,0.0,,12.4,0.0,0.0,,0.0,0.0,0.0,0.5
173,21163,Deonte Harty,BAL,WR,2,LV,0.4,0.2,50.0,2.2,0.0,5.5,11.0,0.0,0.1,5.0,0.0,0.0,0.0,0.4
174,22604,Tylan Wallace,BAL,WR,2,LV,0.6,0.2,33.3,2.2,0.0,3.7,11.0,0.0,0.0,,0.0,0.0,0.0,0.4
175,16790,Phillip Dorsett,DEN,WR,2,PIT,0.0,0.2,,1.9,0.0,,10.9,0.0,0.0,,0.0,0.0,0.0,0.4
176,16837,Chris Conley,SF,WR,2,MIN,0.9,0.2,22.2,1.9,0.0,2.1,9.5,0.0,0.0,,0.0,0.0,0.0,0.4
177,21750,Marquez Callaway,NO,WR,2,DAL,,0.1,,1.4,0.0,,,0.0,0.0,,0.0,,,0.3
178,25409,Mason Tipton,NO,WR,2,DAL,0.5,0.0,0.0,3.3,0.0,6.6,,0.0,0.0,,0.0,0.0,0.0,0.3
179,22644,DJ Turner,LV,WR,2,BAL,0.3,0.0,0.0,2.9,0.0,9.7,,0.0,0.0,,0.0,0.0,0.0,0.3
180,22608,Seth Williams,JAC,WR,2,CLE,0.0,0.1,,1.2,0.0,,11.7,0.0,0.0,,0.0,0.0,0.0,0.3
181,23482,Bo Melton,GB,WR,2,IND,0.9,0.1,11.1,1.8,0.0,2.0,18.0,0.0,0.0,,0.0,0.0,0.0,0.3
182,23634,Samori Toure,GB,WR,2,IND,0.7,0.1,14.3,1.6,0.0,2.3,16.0,0.0,0.0,,0.0,0.0,0.0,0.3
183,25040,Javon Baker,NE,WR,2,SEA,0.8,0.1,12.5,1.6,0.0,2.0,16.0,0.0,0.0,,0.0,0.0,0.0,0.3
184,21737,Tyrie Cleveland,IND,WR,2,GB,0.0,0.1,,1.1,0.0,,13.5,0.0,0.0,,0.0,0.0,0.0,0.2
185,25126,Anthony Gould,IND,WR,2,GB,0.5,0.1,20.0,1.3,0.0,2.6,13.0,0.0,0.1,5.0,0.0,0.0,0.0,0.2
186,19172,Zach Pascal,ARI,WR,2,LA,0.6,0.1,16.7,1.3,0.0,2.2,13.0,0.0,0.0,,0.0,0.0,0.0,0.2
187,22614,Kadarius Toney,CLE,WR,2,JAC,0.1,0.0,0.0,1.2,0.0,12.0,,0.2,1.1,5.5,0.0,0.0,0.0,0.2
188,23302,Britain Covey,PHI,WR,2,ATL,0.7,0.1,14.3,1.2,0.0,1.7,12.0,0.0,0.0,,0.0,0.0,0.0,0.2
189,23121,Kayshon Boutte,NE,WR,2,SEA,0.6,0.1,16.7,1.2,0.0,2.0,12.0,0.0,0.0,,0.0,0.0,0.0,0.2
190,23148,David Bell,CLE,WR,2,JAC,0.8,0.1,12.5,1.2,0.0,1.5,12.0,0.0,0.0,,0.0,0.0,0.0,0.2
191,24199,Bryce Ford-Wheaton,NYG,WR,2,WAS,0.2,0.0,0.0,2.1,0.0,10.5,,0.0,0.0,,0.0,0.0,0.0,0.2
192,21556,Tom Kennedy,DET,WR,2,TB,0.1,0.0,0.0,1.9,0.0,19.0,,0.0,0.0,,0.0,0.0,0.0,0.2
193,18187,Robbie Chosen,SF,WR,2,MIN,0.1,0.0,0.0,1.9,0.0,19.0,,0.0,0.0,,0.0,0.0,0.0,0.2
194,22615,Kawaan Baker,NE,WR,2,SEA,0.0,0.1,,1.1,0.0,,14.2,0.0,0.0,,0.0,0.0,0.0,0.2
195,24221,Justin Shorter,BUF,WR,2,MIA,0.1,0.0,0.0,1.7,0.0,17.0,,0.0,0.0,,0.0,0.0,0.0,0.2
196,18030,Chris Moore,ARI,WR,2,LA,0.8,0.1,12.5,0.5,0.0,0.6,5.0,0.0,0.0,,0.0,0.0,0.0,0.1
197,22572,Dax Milne,LV,WR,2,BAL,0.2,0.0,0.0,1.4,0.0,7.0,,0.0,0.0,,0.0,0.0,0.0,0.1
198,22595,Ihmir Smith-Marsette,NYG,WR,2,WAS,0.1,0.0,0.0,1.2,0.0,12.0,,0.0,0.0,,0.0,0.0,0.0,0.1
199,22622,Racey McMath,DAL,WR,2,NO,0.0,0.0,,1.2,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.1
200,23624,Dareke Young,SEA,WR,2,NE,0.1,0.0,0.0,1.1,0.0,11.0,,0.0,0.0,,0.0,0.0,0.0,0.1
201,21400,Steven Sims,HOU,WR,2,CHI,0.1,0.0,0.0,1.0,0.0,10.0,,0.0,0.0,,0.0,0.0,0.0,0.1
202,24331,Grant DuBose,MIA,WR,2,BUF,0.1,0.0,0.0,1.0,0.0,10.0,,0.0,0.0,,0.0,0.0,0.0,0.1
203,19981,Daurice Fountain,DET,WR,2,TB,0.0,0.0,,1.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.1
204,23962,Irvin Charles,NYJ,WR,2,TEN,0.0,0.0,,1.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.1
205,22590,Ben Skowronek,PIT,WR,2,DEN,0.1,0.0,0.0,1.0,0.0,10.0,,0.0,0.0,,0.0,0.0,0.0,0.1
206,18187,Robbie Chosen,MIA,WR,2,BUF,0.1,0.0,0.0,1.0,0.0,10.0,,0.0,0.0,,0.0,0.0,0.0,0.1
207,24073,Maurice Alexander,DET,WR,2,TB,0.0,0.0,,0.7,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.1
208,20820,Andy Isabella,BUF,WR,2,MIA,0.0,0.0,,0.7,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.1
209,22620,Mike Strachan,CAR,WR,2,LAC,0.0,0.0,,0.6,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.1
210,16146,Martavis Bryant,WAS,WR,2,NYG,0.0,0.0,,0.6,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.1
211,24981,Jacob Cowing,SF,WR,2,MIN,0.6,0.0,0.0,0.6,0.0,1.0,,0.0,0.0,,0.0,0.0,0.0,0.1
212,23441,Braylon Sanders,MIA,WR,2,BUF,0.0,0.0,,0.6,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.1
213,18103,Jakeem Grant,ATL,WR,2,PHI,0.0,0.0,,0.3,0.0,,16.0,0.0,0.0,,0.0,0.0,0.0,0.1
214,22683,Jacob Harris,PHI,WR,2,ATL,0.0,0.0,,0.5,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.1
215,23642,Jalen Virgil,DEN,WR,2,PIT,0.0,0.0,,0.5,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.1
216,22591,Dez Fitzpatrick,PIT,WR,2,DEN,0.0,0.0,,0.5,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.1
217,20886,Stanley Morgan Jr.,NO,WR,2,DAL,0.1,0.0,0.0,0.4,0.0,4.0,,0.0,0.0,,0.0,0.0,0.0,0.0
218,22892,Tim Jones,JAC,WR,2,CLE,0.7,0.0,0.0,0.3,0.0,0.4,,0.0,0.0,,0.0,0.0,0.0,0.0
219,22645,Simi Fehoko,LAC,WR,2,CAR,0.5,0.0,0.0,0.2,0.0,0.4,,0.0,0.0,,0.0,0.0,0.0,0.0
220,25101,Brenden Rice,LAC,WR,2,CAR,0.4,0.0,0.0,0.2,0.0,0.5,,0.0,0.0,,0.0,0.0,0.0,0.0
221,24362,Malik Heath,GB,WR,2,IND,0.3,0.0,0.0,0.2,0.0,0.7,,0.0,0.0,,0.0,0.0,0.0,0.0
222,25642,Kameron Johnson,TB,WR,2,DET,0.0,0.0,,0.2,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
223,21729,Quintez Cephus,HOU,WR,2,CHI,0.0,0.0,,0.1,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
224,21072,Keelan Doss,LV,WR,2,BAL,,0.0,,0.1,0.0,,,0.0,0.0,,0.0,,,0.0
225,19816,DJ Chark,LAC,WR,2,CAR,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
226,25136,Tayvion Robinson,CAR,WR,2,LAC,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,0.0
227,25498,Ramel Keyton,LV,WR,2,BAL,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
228,25455,Dayton Wade,BAL,WR,2,LV,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
229,25364,Sam Pinckney,CAR,WR,2,LAC,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
230,25128,Lideatrick Griffin,LV,WR,2,BAL,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
231,23765,Tyreik McAllister,LV,WR,2,BAL,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
232,24187,Devin Carter,CAR,WR,2,LAC,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
233,25406,Isaiah Wooden,LAC,WR,2,CAR,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
234,25509,Jaelen Gill,LAC,WR,2,CAR,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
235,24703,Sean Ryan,BAL,WR,2,LV,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
236,25514,Leon Johnson,LAC,WR,2,CAR,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,0.0
237,24279,Malik Cunningham,BAL,WR,2,LV,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
238,21295,Nsimba Webster,CHI,WR,2,HOU,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
239,25459,Xavier Johnson,HOU,WR,2,CHI,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
240,25759,Praise Olatoke,CAR,WR,2,LAC,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
